odds_category,count,win_rate,top3_rate,top5_rate,avg_finish,median_finish,roi
1-3,6841,0.36997514983189594,0.70764508112849,0.8478292647273791,3.0454345595778984,2.0,0.8051600643180822
3-10,29080,0.1455639614855571,0.4235213204951857,0.631808803301238,5.052399490129879,4.0,0.7940096286107291
10-50,42858,0.04048252368285968,0.17676979793737457,0.3545429091418172,7.492712597964674,7.0,0.7992393485463625
50-150,22808,0.009470361276745002,0.0540161346895826,0.152271132935812,9.684881522838177,10.0,0.7514161697649948
150+,16628,0.001623767139764253,0.013230695212893913,0.04678854943468848,11.757654447732351,12.0,0.3587863844118354
