race_id,horse_number,horse_name,win_prob,win_odds,expected_value,finish_position,bet_amount,payout
202406010111,13,カテドラル,0.04,184.0,7.36,8,100,0.0
202406010111,5,マイネルファンロン,0.07,134.6,9.422,10,100,0.0
202406010111,9,サクラトゥジュール,0.11,16.2,1.782,12,100,0.0
202406010111,1,キタウイング,0.05,69.0,3.45,14,100,0.0
202406010111,14,カレンシュトラウス,0.06,144.1,8.645999999999999,15,100,0.0
202406010111,16,サトノエルドール,0.14,100.2,14.028000000000002,16,100,0.0
202406010111,17,エミュー,0.06,61.2,3.672,17,100,0.0
202406010112,8,クインズミモザ,0.08,17.9,1.432,1,100,1789.9999999999998
202406010112,14,アイファーエポック,0.07,22.0,1.54,3,100,0.0
202406010112,3,アイアムイチリュウ,0.07,36.2,2.5340000000000003,5,100,0.0
202406010112,6,フリーフロー,0.07,72.6,5.082,7,100,0.0
202406010112,11,クロースコンバット,0.05,24.7,1.235,8,100,0.0
202406010112,15,ファイヴレター,0.09,223.8,20.142,9,100,0.0
202406010112,7,ウインジョイフル,0.03,359.5,10.785,10,100,0.0
202406010112,16,フォーワンセルフ,0.1,95.1,9.51,12,100,0.0
202406010112,10,シグナルファイアー,0.06,38.0,2.28,13,100,0.0
202406010112,9,マイネルイリャルギ,0.1,269.9,26.99,16,100,0.0
202408010101,6,ルージュシュエット,0.05,32.3,1.615,3,100,0.0
202408010101,16,ヤマニンアラクリア,0.06,19.3,1.158,4,100,0.0
202408010101,5,フォートポータル,0.08,32.9,2.632,8,100,0.0
202408010101,2,ヤルキゲンキフトシ,0.03,256.7,7.701,10,100,0.0
202408010101,11,カレンワッツアップ,0.07,70.6,4.942,11,100,0.0
202408010101,8,ソニック,0.02,69.6,1.392,13,100,0.0
202408010101,4,メネラオス,0.07,66.5,4.655,14,100,0.0
202408010101,1,オスピタリテ,0.16,553.9,88.624,15,100,0.0
202408010101,7,タイセイサクシード,0.05,334.0,16.7,16,100,0.0
202408010102,5,ウインメラナイト,0.13,186.4,24.232000000000003,8,100,0.0
202408010102,10,クワッドルッツ,0.03,343.4,10.302,9,100,0.0
202408010102,2,サンライズマウレア,0.05,28.4,1.42,10,100,0.0
