feature,importance
horse_weight_zscore,3413
basis_weight_zscore,2869
sire_wet_boost,1968
gap_ability_popularity,1867
bracket_avg_finish,1723
bms_avg_finish,1653
age_zscore,1650
bms_win_rate,1623
pace_fit_score,1618
combo_overperform,1618
sire_course_place_rate,1613
trainer_新潟_win_rate,1608
trainer_win_rate,1552
combo_avg_finish,1475
jockey_新潟_win_rate,1339
sire_course_win_rate,1332
sire_course_avg_finish,1316
sire_win_rate,1315
time_deviation_score_avg_5,1299
sire_avg_finish,1283
l3f_deviation_score_avg_5,1282
horse_number,1256
nicks_avg_finish,1249
jockey_sprint_win_rate,1247
gap_trainer_popularity,1242
trainer_東京_win_rate,1233
past_3_last_3f_time_std,1229
trainer_中山_win_rate,1223
combo_races,1208
gap_pedigree_popularity,1197
trainer_福島_win_rate,1184
leader_ratio,1182
trainer_札幌_win_rate,1154
trainer_小倉_win_rate,1153
jockey_小倉_win_rate,1148
trainer_中京_win_rate,1143
horse_weight_change,1134
jockey_福島_win_rate,1130
dist_avg_time,1127
jockey_東京_win_rate,1125
jockey_long_win_rate,1107
gap_course_fit_popularity,1101
days_since_last_race,1090
jockey_intermediate_win_rate,1082
trainer_阪神_win_rate,1068
gap_jockey_popularity,1063
jockey_中山_win_rate,1053
jockey_mile_win_rate,1052
jockey_阪神_win_rate,1047
past_5_last_3f_time_std,1031
jockey_芝_win_rate,1028
jockey_中京_win_rate,1028
trainer_函館_win_rate,1018
jockey_函館_win_rate,994
jockey_ダート_win_rate,985
jockey_札幌_win_rate,963
past_5_passing_order_1_std,939
past_10_last_3f_time_std,930
finish_cv_last3,929
nicks_win_rate,896
bias_seasonal_score,892
dist_avg_finish,884
past_3_margin_seconds_std,872
jockey_win_rate,871
past_10_passing_order_1_std,871
past_10_margin_seconds_std,869
trainer_京都_win_rate,863
distance_m,862
jockey_京都_win_rate,833
past_10_passing_order_1_mean,810
surface_avg_last3f,807
race_class_overbet_risk,795
past_1_last_3f_time_max,786
finish_cv_last10,779
past_10_margin_seconds_mean,772
past_5_margin_seconds_std,763
surface_avg_finish,749
finish_cv_last5,748
form_rank,744
day_of_meeting,726
past_5_margin_seconds_mean,691
fast_track_score_avg,688
combo_win_rate,686
past_3_passing_order_1_std,675
venue_avg_finish,673
past_10_passing_order_4_std,648
past_10_finish_position_std,643
past_3_last_3f_time_mean,636
past_5_passing_order_4_std,629
past_3_margin_seconds_mean,626
past_10_last_3f_time_max,625
heavy_track_score_avg,591
past_3_last_3f_time_max,589
past_10_last_3f_time_mean,586
past_5_finish_position_std,586
past_5_passing_order_1_mean,585
past_10_finish_position_mean,556
finish_std_last10,554
past_10_last_3f_time_median,541
finish_std_last5,540
past_3_last_3f_time_median,531
past_5_last_3f_time_mean,513
past_10_passing_order_4_mean,506
past_3_passing_order_1_mean,482
past_5_last_3f_time_median,481
past_3_finish_position_std,470
past_5_last_3f_time_max,452
past_5_finish_position_mean,445
avg_finish_last10,427
past_3_margin_seconds_median,416
past_5_passing_order_4_mean,413
past_3_passing_order_4_std,397
past_10_margin_seconds_median,393
past_5_margin_seconds_median,386
surface_races,379
past_1_finish_position_max,378
avg_finish_last5,363
past_1_margin_seconds_max,362
avg_finish_last3,351
finish_std_last3,350
past_3_finish_position_mean,348
prev_distance_m,339
past_1_last_3f_time_mean,308
dist_races,300
past_1_passing_order_1_max,296
age,295
race_month,291
jockey_unknown_win_rate,281
past_3_passing_order_4_mean,266
past_3_finish_position_median,260
past_5_passing_order_1_median,258
past_3_passing_order_1_median,255
past_10_passing_order_1_max,253
past_10_finish_position_max,251
n_leaders,249
past_10_margin_seconds_max,248
distance_change,248
past_10_passing_order_4_median,236
past_10_passing_order_1_median,235
past_10_finish_position_median,230
past_3_passing_order_1_max,230
past_3_finish_position_max,226
place_rate_last10,221
past_1_passing_order_4_max,203
past_5_passing_order_4_median,201
past_10_passing_order_4_max,194
past_5_finish_position_max,191
past_5_finish_position_median,189
past_3_margin_seconds_max,181
past_3_passing_order_4_max,158
past_5_margin_seconds_max,156
past_3_passing_order_4_median,148
jockey_marathon_win_rate,147
round_of_year,139
venue_races,100
win_rate_last5,68
bracket_is_middle,46
bracket_is_outer,42
sex_牡,40
bracket_is_inner,29
is_overvalued,18
