year,odds_band,roi,hit_rate,bet_count
2025,1-2倍,70.5668016194332,44.33198380566802,494
2025,2-5倍,67.73519163763066,21.951219512195124,1435
2025,5-10倍,70.47493403693932,10.422163588390502,758
2025,10-20倍,75.8780487804878,5.609756097560976,410
2025,20-50倍,121.64705882352939,3.9215686274509802,255
2025,50倍以上,0.0,0.0,103
2024,1-2倍,78.2183908045977,48.85057471264368,522
2024,2-5倍,80.50254916241808,24.836125273124544,1373
2024,5-10倍,78.31202046035806,11.76470588235294,782
2024,10-20倍,94.61352657004834,7.246376811594203,414
2024,20-50倍,90.1984126984127,3.1746031746031744,252
2024,50倍以上,102.79279279279278,1.8018018018018018,111
2023,1-2倍,80.23529411764706,48.94117647058824,425
2023,2-5倍,81.609363569861,25.896122896854422,1367
2023,5-10倍,70.63749999999999,10.375,800
2023,10-20倍,42.61506276150627,3.1380753138075312,478
2023,20-50倍,91.20141342756183,2.8268551236749118,283
2023,50倍以上,180.58252427184468,1.9417475728155338,103
2022,1-2倍,76.47450110864746,47.671840354767184,451
2022,2-5倍,79.6140350877193,24.982456140350877,1425
2022,5-10倍,87.14460784313725,12.990196078431374,816
2022,10-20倍,74.8395061728395,5.679012345679013,405
2022,20-50倍,33.2962962962963,1.4814814814814816,270
2022,50倍以上,0.0,0.0,89
2021,1-2倍,81.01990049751245,49.50248756218906,402
2021,2-5倍,74.4297635605007,23.36578581363004,1438
2021,5-10倍,82.39470517448859,12.033694344163658,831
2021,10-20倍,92.96213808463253,6.6815144766147,449
2021,20-50倍,92.67716535433073,3.149606299212598,254
2021,50倍以上,0.0,0.0,82
2020,1-2倍,75.8628841607565,45.15366430260047,423
2020,2-5倍,79.25742574257426,25.742574257425744,1414
2020,5-10倍,73.76249999999999,11.0,800
2020,10-20倍,90.93023255813951,6.553911205073996,473
2020,20-50倍,64.51492537313433,2.2388059701492535,268
2020,50倍以上,0.0,0.0,78
