year,odds_range,ev_threshold,score_pctl,pop_min,roi,bet_count,hit_count,hit_rate
2025,5-50,1.2,0.4,3,75.8125,160,13,8.125
2025,5-50,1.2,0.4,4,67.25806451612904,124,7,5.64516129032258
2025,5-50,1.2,0.4,5,47.19101123595505,89,2,2.247191011235955
2025,5-50,1.2,0.5,all,102.0,80,8,10.0
2025,5-50,1.2,0.5,3,106.25,72,7,9.722222222222223
2025,5-50,1.2,0.5,4,93.96551724137929,58,4,6.896551724137931
2025,5-50,1.2,0.5,5,73.80952380952381,42,1,2.380952380952381
2025,5-50,1.2,0.6,all,131.0,40,4,10.0
2025,5-50,1.2,0.6,3,154.1176470588235,34,4,11.76470588235294
2025,5-50,1.2,0.6,4,145.92592592592592,27,2,7.4074074074074066
2025,5-50,1.2,0.6,5,163.1578947368421,19,1,5.263157894736842
2025,5-50,1.2,0.7,all,38.23529411764706,17,1,5.88235294117647
2025,5-50,1.2,0.7,3,54.166666666666664,12,1,8.333333333333332
2025,5-50,1.2,0.7,4,0.0,9,0,0.0
2025,5-50,1.2,0.7,5,0.0,6,0,0.0
2025,10-30,0.5,0.4,all,26.144578313253007,83,2,2.4096385542168677
2025,10-30,0.5,0.4,3,26.144578313253007,83,2,2.4096385542168677
2025,10-30,0.5,0.4,4,27.125,80,2,2.5
2025,10-30,0.5,0.4,5,15.714285714285714,70,1,1.4285714285714286
2025,10-30,0.5,0.5,all,0.0,33,0,0.0
2025,10-30,0.5,0.5,3,0.0,33,0,0.0
2025,10-30,0.5,0.5,4,0.0,32,0,0.0
2025,10-30,0.5,0.5,5,0.0,29,0,0.0
2025,10-30,0.5,0.6,all,0.0,17,0,0.0
2025,10-30,0.5,0.6,3,0.0,17,0,0.0
2025,10-30,0.5,0.6,4,0.0,16,0,0.0
2025,10-30,0.5,0.6,5,0.0,15,0,0.0
2025,10-30,0.5,0.7,all,0.0,5,0,0.0
2025,10-30,0.5,0.7,3,0.0,5,0,0.0
2025,10-30,0.5,0.7,4,0.0,5,0,0.0
2025,10-30,0.5,0.7,5,0.0,5,0,0.0
2025,10-30,0.6,0.4,all,26.144578313253007,83,2,2.4096385542168677
2025,10-30,0.6,0.4,3,26.144578313253007,83,2,2.4096385542168677
2025,10-30,0.6,0.4,4,27.125,80,2,2.5
2025,10-30,0.6,0.4,5,15.714285714285714,70,1,1.4285714285714286
2025,10-30,0.6,0.5,all,0.0,33,0,0.0
2025,10-30,0.6,0.5,3,0.0,33,0,0.0
2025,10-30,0.6,0.5,4,0.0,32,0,0.0
2025,10-30,0.6,0.5,5,0.0,29,0,0.0
2025,10-30,0.6,0.6,all,0.0,17,0,0.0
2025,10-30,0.6,0.6,3,0.0,17,0,0.0
2025,10-30,0.6,0.6,4,0.0,16,0,0.0
2025,10-30,0.6,0.6,5,0.0,15,0,0.0
2025,10-30,0.6,0.7,all,0.0,5,0,0.0
2025,10-30,0.6,0.7,3,0.0,5,0,0.0
2025,10-30,0.6,0.7,4,0.0,5,0,0.0
2025,10-30,0.6,0.7,5,0.0,5,0,0.0
2025,10-30,0.7,0.4,all,26.144578313253007,83,2,2.4096385542168677
2025,10-30,0.7,0.4,3,26.144578313253007,83,2,2.4096385542168677
2025,10-30,0.7,0.4,4,27.125,80,2,2.5
2025,10-30,0.7,0.4,5,15.714285714285714,70,1,1.4285714285714286
2025,10-30,0.7,0.5,all,0.0,33,0,0.0
2025,10-30,0.7,0.5,3,0.0,33,0,0.0
2025,10-30,0.7,0.5,4,0.0,32,0,0.0
2025,10-30,0.7,0.5,5,0.0,29,0,0.0
2025,10-30,0.7,0.6,all,0.0,17,0,0.0
2025,10-30,0.7,0.6,3,0.0,17,0,0.0
2025,10-30,0.7,0.6,4,0.0,16,0,0.0
2025,10-30,0.7,0.6,5,0.0,15,0,0.0
2025,10-30,0.7,0.7,all,0.0,5,0,0.0
2025,10-30,0.7,0.7,3,0.0,5,0,0.0
2025,10-30,0.7,0.7,4,0.0,5,0,0.0
2025,10-30,0.7,0.7,5,0.0,5,0,0.0
