year,v15_roi,v15_hit_rate,v15_bet_count,v15_hit_count,v15_avg_odds_hit,v15_avg_popularity_bet,v15_avg_popularity_hit,v15_roi_1人気,v15_hit_rate_1人気,v15_count_1人気,v15_roi_2-3人気,v15_hit_rate_2-3人気,v15_count_2-3人気,v15_roi_4-6人気,v15_hit_rate_4-6人気,v15_count_4-6人気,v15_roi_7-10人気,v15_hit_rate_7-10人気,v15_count_7-10人気,v15_roi_11人気～,v15_hit_rate_11人気～,v15_count_11人気～,v15_roi_odds_1-2倍,v15_hit_rate_odds_1-2倍,v15_count_odds_1-2倍,v15_roi_odds_2-5倍,v15_hit_rate_odds_2-5倍,v15_count_odds_2-5倍,v15_roi_odds_5-10倍,v15_hit_rate_odds_5-10倍,v15_count_odds_5-10倍,v15_roi_odds_10-30倍,v15_hit_rate_odds_10-30倍,v15_count_odds_10-30倍,v15_roi_odds_30倍～,v15_hit_rate_odds_30倍～,v15_count_odds_30倍～,v44_roi,v44_hit_rate,v44_bet_count,v44_hit_count,v44_avg_odds_hit,v44_avg_popularity_bet,v44_avg_popularity_hit,v44_roi_1人気,v44_hit_rate_1人気,v44_count_1人気,v44_roi_2-3人気,v44_hit_rate_2-3人気,v44_count_2-3人気,v44_roi_4-6人気,v44_hit_rate_4-6人気,v44_count_4-6人気,v44_roi_7-10人気,v44_hit_rate_7-10人気,v44_count_7-10人気,v44_roi_11人気～,v44_hit_rate_11人気～,v44_count_11人気～,v44_roi_odds_1-2倍,v44_hit_rate_odds_1-2倍,v44_count_odds_1-2倍,v44_roi_odds_2-5倍,v44_hit_rate_odds_2-5倍,v44_count_odds_2-5倍,v44_roi_odds_5-10倍,v44_hit_rate_odds_5-10倍,v44_count_odds_5-10倍,v44_roi_odds_10-30倍,v44_hit_rate_odds_10-30倍,v44_count_odds_10-30倍,v44_roi_odds_30倍～,v44_hit_rate_odds_30倍～,v44_count_odds_30倍～,ens_roi,ens_hit_rate,ens_bet_count,ens_hit_count,ens_avg_odds_hit,ens_avg_popularity_bet,ens_avg_popularity_hit,ens_roi_1人気,ens_hit_rate_1人気,ens_count_1人気,ens_roi_2-3人気,ens_hit_rate_2-3人気,ens_count_2-3人気,ens_roi_4-6人気,ens_hit_rate_4-6人気,ens_count_4-6人気,ens_roi_7-10人気,ens_hit_rate_7-10人気,ens_count_7-10人気,ens_roi_11人気～,ens_hit_rate_11人気～,ens_count_11人気～,ens_roi_odds_1-2倍,ens_hit_rate_odds_1-2倍,ens_count_odds_1-2倍,ens_roi_odds_2-5倍,ens_hit_rate_odds_2-5倍,ens_count_odds_2-5倍,ens_roi_odds_5-10倍,ens_hit_rate_odds_5-10倍,ens_count_odds_5-10倍,ens_roi_odds_10-30倍,ens_hit_rate_odds_10-30倍,ens_count_odds_10-30倍,ens_roi_odds_30倍～,ens_hit_rate_odds_30倍～,ens_count_odds_30倍～
2025,66.85962373371925,19.59479015918958,3455,677,3.412112259970458,3.1924746743849495,1.7031019202363369,71.59163987138264,33.92282958199357,1244,75.82076308784383,17.834960070984916,1127,61.417910447761194,7.014925373134329,670,43.84879725085911,2.0618556701030926,291,20.975609756097562,0.8130081300813009,123,72.52847380410023,46.46924829157175,439,73.42157511581735,24.2885506287227,1511,66.8387909319899,10.327455919395465,794,62.56198347107437,4.75206611570248,484,21.453744493392072,0.4405286343612335,227,69.36034732272068,12.503617945007237,3455,432,5.547222222222222,5.246309696092619,2.4814814814814814,71.74067495559501,33.03730017761989,563,80.26806526806527,17.94871794871795,858,71.79515418502201,7.158590308370044,908,66.9611780455154,3.2128514056224895,747,40.0263852242744,0.79155672823219,379,71.30177514792898,45.562130177514796,169,76.16591928251121,24.327354260089688,892,79.51388888888887,11.666666666666666,720,80.88565022421523,5.2690582959641254,892,38.68286445012788,0.8951406649616368,782,67.53111432706223,19.913169319826338,3455,688,3.3912790697674415,3.1745296671490593,1.7020348837209303,71.69303797468355,34.25632911392405,1264,74.1255605381166,17.757847533632287,1115,63.08270676691728,7.368421052631578,665,60.94276094276094,2.6936026936026933,297,0.0,0.0,114,73.28918322295806,47.019867549668874,453,73.29365079365081,24.47089947089947,1512,66.52284263959392,10.279187817258883,788,60.60796645702305,4.612159329140461,477,35.422222222222224,0.8888888888888888,225
2024,82.81991893456862,22.379849449913145,3454,773,3.7006468305304017,3.06687898089172,1.7994825355756792,77.78039215686275,37.72549019607843,1275,82.8711111111111,19.466666666666665,1125,76.39824304538799,8.49194729136164,683,124.65034965034967,4.895104895104895,286,68.58823529411764,1.1764705882352942,85,83.27967806841046,53.118712273641854,497,77.97642436149313,25.01637197118533,1527,81.83833116036506,12.646675358539767,767,89.8136645962733,5.383022774327122,483,108.05555555555557,2.2222222222222223,180,81.7458019687319,9.756803705848291,3454,337,8.37833827893175,5.976259409380429,2.9050445103857565,78.6021505376344,34.40860215053764,372,66.82305630026809,15.013404825737265,746,70.46583850931677,7.039337474120083,966,66.72727272727272,2.272727272727273,880,156.06122448979593,1.8367346938775513,490,86.21052631578948,54.736842105263165,95,72.81203007518798,23.157894736842106,665,73.65546218487393,10.644257703081232,714,64.89989462592203,4.10958904109589,949,108.20562560620759,1.5518913676042678,1031,83.61609727851767,22.35089751013318,3454,772,3.7410621761658036,3.0920671685002894,1.8264248704663213,76.0594214229867,37.45113369820172,1279,83.34234234234235,19.45945945945946,1110,78.67452135493372,8.836524300441827,679,132.56666666666666,5.333333333333334,300,67.7906976744186,1.1627906976744187,86,83.70741482965933,53.50701402805611,499,75.92373438527285,24.523339907955293,1521,85.0730411686587,13.147410358565736,753,98.06122448979593,5.918367346938775,490,101.83246073298432,2.094240837696335,191
2023,81.99942129629628,21.875,3456,756,3.748544973544973,3.048611111111111,1.7380952380952381,83.58737490377214,38.49114703618168,1299,69.24613987284287,16.71207992733878,1101,82.03869047619047,8.779761904761903,672,93.0379746835443,3.1645569620253164,316,206.47058823529414,4.411764705882353,68,83.7062937062937,51.981351981351985,429,80.45918367346938,27.040816326530614,1568,65.37949400798935,9.85352862849534,751,77.78420038535647,5.394990366088632,519,168.5185185185185,3.7037037037037033,189,74.8900462962963,10.445601851851851,3456,361,7.169529085872577,6.031539351851852,2.903047091412742,78.12807881773399,33.99014778325123,406,76.52616279069767,16.569767441860463,688,76.50515463917526,7.9381443298969065,970,75.03432494279176,2.9748283752860414,874,66.9111969111969,1.1583011583011582,518,76.79999999999998,47.0,100,83.88535031847132,26.59235668789809,628,81.32176234979973,11.882510013351135,749,79.07922912205566,4.817987152034261,934,60.94736842105264,1.244019138755981,1045,80.93171296296296,21.52777777777778,3456,744,3.7594086021505375,3.1689814814814814,1.7688172043010753,83.62986497220017,38.60206513105639,1259,69.66759002770084,16.897506925207757,1083,77.44588744588744,8.802308802308803,693,90.33639143730888,3.058103975535168,327,167.5531914893617,4.25531914893617,94,82.89473684210526,51.674641148325364,418,81.6240995415848,27.37393582187295,1527,66.88802083333334,10.026041666666668,768,61.641221374045806,4.580152671755725,524,167.7625570776256,4.10958904109589,219
2022,74.74537037037038,19.96527777777778,3456,690,3.7437681159420295,3.248553240740741,1.7971014492753623,79.70689655172413,36.637931034482754,1160,78.56108597285068,17.918552036199095,1105,62.91287386215865,7.022106631989597,769,57.89317507418398,3.2640949554896146,337,131.29411764705884,2.3529411764705883,85,77.28260869565217,50.27173913043478,368,79.8106828938472,25.963488843813387,1479,76.00723763570568,11.338962605548854,829,65.97197898423818,4.378283712784588,571,53.39712918660287,0.9569377990430622,209,58.278356481481474,9.953703703703704,3456,344,5.854941860465116,5.817997685185185,2.491279069767442,69.73995271867612,31.914893617021278,423,80.83660130718954,16.99346405228758,765,73.54101765316717,6.95742471443406,963,36.303030303030305,1.3333333333333335,825,19.375,0.20833333333333334,480,71.49606299212599,46.45669291338583,127,70.36879432624113,21.843971631205676,705,82.9264909847434,12.343966712898752,721,62.27032734952481,3.907074973600845,947,25.06276150627615,0.5230125523012552,956,78.07291666666666,20.3125,3456,702,3.8435897435897433,3.2569444444444446,1.7905982905982907,81.18049615055604,37.211291702309666,1169,80.10128913443832,18.32412523020258,1086,64.00783289817232,7.049608355091384,766,52.23796033994334,3.1161473087818696,353,249.5121951219512,3.6585365853658534,82,75.98958333333333,49.47916666666667,384,80.86183310533515,26.47058823529412,1462,78.25766871165644,11.779141104294478,815,64.71186440677967,4.406779661016949,590,99.8048780487805,1.4634146341463417,205
2021,79.88136574074073,21.15162037037037,3456,731,3.7766073871409027,2.9108796296296298,1.722298221614227,76.82284040995609,34.84626647144949,1366,76.97177074422584,16.852010265183917,1169,65.69204152249137,7.093425605536333,578,158.1684981684982,6.227106227106227,273,0.0,0.0,70,82.41379310344828,51.47783251231527,406,74.61910519951631,24.425634824667473,1654,72.35368956743001,11.068702290076336,786,89.62962962962963,5.664488017429194,459,140.26490066225165,3.3112582781456954,151,78.46643518518518,11.77662037037037,3456,407,6.662899262899262,5.609085648148148,2.601965601965602,89.24944812362033,37.969094922737305,453,78.89963724304717,17.04957678355502,827,81.41758241758242,7.6923076923076925,910,63.27294685990338,2.4154589371980677,828,89.08675799086758,0.91324200913242,438,91.19266055045873,56.88073394495413,109,85.81395348837209,26.22739018087855,774,77.84391534391536,11.375661375661375,756,76.92937563971341,4.810644831115661,977,72.39285714285715,1.0714285714285714,840,78.9380787037037,21.49884259259259,3456,743,3.671736204576043,2.9221643518518516,1.7065948855989233,78.96500372300818,35.51749813849591,1343,79.8109965635739,17.611683848797252,1164,73.27895595432301,7.99347471451876,613,106.78966789667899,4.428044280442804,271,0.0,0.0,65,84.32160804020101,52.51256281407035,398,76.61192214111922,24.939172749391727,1644,79.98757763975155,12.173913043478262,805,74.53961456102783,4.710920770877944,467,99.29577464788733,2.8169014084507045,142
2020,79.21296296296296,21.81712962962963,3456,754,3.6307692307692307,2.9019097222222223,1.7440318302387268,79.63450292397661,35.89181286549707,1368,74.36801375752364,16.85296646603611,1163,80.52892561983471,8.264462809917356,605,113.61702127659574,6.808510638297872,235,34.23529411764706,1.1764705882352942,85,81.45679012345678,49.629629629629626,405,76.87424425634825,25.997581620314392,1654,71.00755667506297,10.831234256926953,794,118.93805309734513,7.964601769911504,452,23.04635761589404,0.6622516556291391,151,73.90046296296296,11.371527777777777,3456,393,6.4987277353689565,5.527488425925926,2.623409669211196,80.81196581196582,34.401709401709404,468,88.93120393120392,17.936117936117938,814,67.22866174920969,6.217070600632244,949,64.26666666666667,2.7878787878787876,825,70.925,1.0,400,81.25000000000001,49.21875,128,79.89247311827958,24.462365591397848,744,80.89378238341968,12.046632124352332,772,70.7079646017699,4.424778761061947,1017,64.40251572327044,1.257861635220126,795,78.2638888888889,21.52777777777778,3456,744,3.635483870967742,2.9658564814814814,1.7513440860215055,79.80509745127435,35.907046476761614,1334,74.59366980325063,16.852010265183917,1169,84.37908496732027,8.660130718954248,612,99.13385826771653,5.905511811023622,254,0.0,0.0,87,79.54659949622165,48.614609571788414,397,77.41559238796809,26.151012891344383,1629,75.16331658291459,11.306532663316583,796,105.7264957264957,7.264957264957266,468,20.963855421686745,0.6024096385542169,166
