threshold,roi,hit_rate,bet_count,avg_odds_hit,year
0.5,76.55080213903743,13.324420677361854,2244,5.753511705685619,2020
0.6,77.12727272727273,12.0,1925,6.438095238095237,2020
0.7,79.03439951719974,10.983705491852746,1657,7.195604395604395,2020
0.7999999999999999,79.01251738525731,9.874826147426981,1438,8.001408450704226,2020
0.8999999999999999,76.80799999999999,8.559999999999999,1250,8.972897196261682,2020
0.9999999999999999,72.91629162916293,7.200720072007201,1111,10.126249999999999,2020
1.0999999999999999,76.61554192229039,7.05521472392638,978,10.859420289855075,2020
1.1999999999999997,78.79545454545456,6.931818181818182,880,11.367213114754101,2020
1.2999999999999998,75.34550195567145,5.9973924380704045,767,12.56304347826087,2020
1.4,73.08571428571429,5.428571428571429,700,13.463157894736844,2020
1.4999999999999998,71.43307086614172,4.881889763779528,635,14.632258064516131,2020
1.5999999999999996,73.80610412926391,4.847396768402154,557,15.225925925925928,2020
1.6999999999999997,76.8986083499006,4.7713717693836974,503,16.116666666666667,2020
1.7999999999999998,79.01960784313725,4.793028322440087,459,16.486363636363638,2020
1.8999999999999997,74.38848920863309,4.07673860911271,417,18.24705882352941,2020
1.9999999999999996,79.02887139107612,4.199475065616798,381,18.818749999999998,2020
2.0999999999999996,83.15340909090911,4.261363636363636,352,19.513333333333335,2020
2.1999999999999997,79.06832298136646,3.7267080745341614,322,21.216666666666665,2020
2.3,84.3046357615894,3.9735099337748347,302,21.216666666666665,2020
2.3999999999999995,89.96466431095406,4.240282685512367,283,21.216666666666665,2020
2.4999999999999996,98.68217054263566,4.651162790697675,258,21.216666666666665,2020
2.5999999999999996,103.49593495934958,4.878048780487805,246,21.216666666666665,2020
2.6999999999999993,103.60515021459227,4.721030042918455,233,21.945454545454545,2020
2.7999999999999994,105.78703703703705,4.62962962962963,216,22.849999999999998,2020
2.8999999999999995,102.49999999999999,4.326923076923077,208,23.68888888888889,2020
2.9999999999999996,101.26262626262626,4.040404040404041,198,25.0625,2020
3.0999999999999996,99.29729729729729,3.783783783783784,185,26.24285714285714,2020
3.1999999999999993,103.78531073446327,3.954802259887006,177,26.24285714285714,2020
3.2999999999999994,99.64912280701753,3.508771929824561,171,28.399999999999995,2020
3.3999999999999995,105.83850931677017,3.7267080745341614,161,28.399999999999995,2020
3.499999999999999,100.8917197452229,3.1847133757961785,157,31.679999999999996,2020
0.5,67.6168024003429,12.901843120445777,2333,5.251162790697674,2021
0.6,66.025,11.1,2000,5.9590090090090095,2021
0.7,64.20806545879601,9.701928696668615,1711,6.618072289156626,2021
0.7999999999999999,63.20134228187919,8.590604026845638,1490,7.35703125,2021
0.8999999999999999,61.70750988142293,7.351778656126482,1265,8.393548387096775,2021
0.9999999999999999,59.27797833935018,6.31768953068592,1108,9.382857142857144,2021
1.0999999999999999,60.85452695829095,5.90030518819939,983,10.313793103448276,2021
1.1999999999999997,59.884393063583815,5.433526011560693,865,11.02127659574468,2021
1.2999999999999998,58.072916666666664,5.078125,768,11.435897435897438,2021
1.4,56.99421965317919,4.624277456647398,692,12.325,2021
1.4999999999999998,55.313001605136435,4.173354735152488,623,13.253846153846155,2021
1.5999999999999996,51.56414762741651,3.5149384885764503,569,14.670000000000002,2021
1.6999999999999997,49.36802973977696,3.3457249070631967,538,14.755555555555553,2021
1.7999999999999998,48.1198347107438,3.0991735537190084,484,15.526666666666666,2021
1.8999999999999997,48.94144144144145,2.9279279279279278,444,16.715384615384615,2021
1.9999999999999996,51.73809523809524,3.0952380952380953,420,16.715384615384615,2021
2.0999999999999996,49.015544041450774,2.5906735751295336,386,18.919999999999998,2021
2.1999999999999997,47.41046831955923,2.479338842975207,363,19.122222222222224,2021
2.3,48.835820895522396,2.3880597014925375,335,20.450000000000003,2021
2.3999999999999995,47.42857142857143,2.2222222222222223,315,21.342857142857138,2021
2.4999999999999996,46.87707641196013,1.9933554817275747,301,23.51666666666667,2021
2.5999999999999996,48.8235294117647,2.0761245674740483,289,23.51666666666667,2021
2.6999999999999993,51.1231884057971,2.1739130434782608,276,23.51666666666667,2021
2.7999999999999994,53.854961832061065,2.2900763358778624,262,23.51666666666667,2021
2.8999999999999995,56.21513944223108,2.3904382470119523,251,23.51666666666667,2021
2.9999999999999996,58.305785123966935,2.479338842975207,242,23.51666666666667,2021
3.0999999999999996,61.8859649122807,2.631578947368421,228,23.51666666666667,2021
3.1999999999999993,57.46543778801843,2.3041474654377883,217,24.94,2021
3.2999999999999994,59.38095238095238,2.380952380952381,210,24.94,2021
3.3999999999999995,55.17412935323382,1.9900497512437811,201,27.724999999999998,2021
3.499999999999999,47.08994708994709,1.5873015873015872,189,29.666666666666668,2021
0.5,72.88830715532286,13.263525305410123,2292,5.500657894736842,2022
0.6,71.87563195146612,11.627906976744185,1978,6.181304347826087,2022
0.7,70.97058823529412,10.117647058823529,1700,7.0145348837209305,2022
0.7999999999999999,71.37491616364855,9.25553319919517,1491,7.711594202898551,2022
0.8999999999999999,71.19515885022693,8.245083207261725,1322,8.634862385321101,2022
0.9999999999999999,70.14554794520548,7.363013698630137,1168,9.526744186046512,2022
1.0999999999999999,71.57142857142857,7.0476190476190474,1050,10.155405405405405,2022
1.1999999999999997,76.00425079702444,7.226354941551541,941,10.517647058823528,2022
1.2999999999999998,77.86729857819907,6.872037914691943,844,11.331034482758621,2022
1.4,77.33860342555995,6.455862977602108,759,11.979591836734693,2022
1.4999999999999998,75.63318777292577,5.822416302765648,687,12.989999999999998,2022
1.5999999999999996,75.5591054313099,5.5910543130990416,626,13.514285714285712,2022
1.6999999999999997,70.5944055944056,5.244755244755245,572,13.459999999999997,2022
1.7999999999999998,67.91353383458647,4.6992481203007515,532,14.452,2022
1.8999999999999997,64.46428571428571,4.365079365079365,504,14.768181818181818,2022
1.9999999999999996,68.05555555555556,4.487179487179487,468,15.166666666666664,2022
