year,odds_range,ev_threshold,score_threshold,roi,bet_count,hit_count
2022,5-50,1.5,0.6,111.49999999999997,40,5
2022,5-50,1.5,0.7,120.0,17,2
2022,10-50,0.8,0.5,98.29268292682927,41,3
2022,10-50,0.8,0.6,160.0,16,2
2022,10-50,1.0,0.5,98.29268292682927,41,3
2022,10-50,1.0,0.6,160.0,16,2
2022,10-50,1.2,0.5,98.29268292682927,41,3
2022,10-50,1.2,0.6,160.0,16,2
2022,10-50,1.5,0.5,98.29268292682927,41,3
2022,10-50,1.5,0.6,160.0,16,2
2022,20-50,0.8,0.5,0.0,17,0
2022,20-50,1.0,0.5,0.0,17,0
2022,20-50,1.2,0.5,0.0,17,0
2022,20-50,1.5,0.5,0.0,17,0
2022,10-30,0.8,0.5,125.93749999999999,32,3
2022,10-30,0.8,0.6,213.33333333333334,12,2
2022,10-30,1.0,0.5,125.93749999999999,32,3
2022,10-30,1.0,0.6,213.33333333333334,12,2
2022,10-30,1.2,0.5,125.93749999999999,32,3
2022,10-30,1.2,0.6,213.33333333333334,12,2
2022,10-30,1.5,0.5,125.93749999999999,32,3
2022,10-30,1.5,0.6,213.33333333333334,12,2
2021,5-50,0.8,0.5,213.0,30,4
2021,5-50,1.0,0.5,213.0,30,4
2021,5-50,1.2,0.5,213.0,30,4
2021,5-50,1.5,0.5,213.0,30,4
2021,10-50,0.8,0.5,360.7692307692308,13,1
2021,10-50,1.0,0.5,360.7692307692308,13,1
2021,10-50,1.2,0.5,360.7692307692308,13,1
2021,10-50,1.5,0.5,360.7692307692308,13,1
2020,5-50,0.8,0.5,119.58333333333333,72,10
2020,5-50,0.8,0.6,58.4,25,2
2020,5-50,1.0,0.5,119.58333333333333,72,10
2020,5-50,1.0,0.6,58.4,25,2
2020,5-50,1.2,0.5,119.58333333333333,72,10
2020,5-50,1.2,0.6,58.4,25,2
2020,5-50,1.5,0.5,119.58333333333333,72,10
2020,5-50,1.5,0.6,58.4,25,2
2020,10-50,0.8,0.5,97.0967741935484,31,2
2020,10-50,1.0,0.5,97.0967741935484,31,2
2020,10-50,1.2,0.5,97.0967741935484,31,2
2020,10-50,1.5,0.5,97.0967741935484,31,2
2020,10-30,0.8,0.5,107.5,28,2
2020,10-30,1.0,0.5,107.5,28,2
2020,10-30,1.2,0.5,107.5,28,2
2020,10-30,1.5,0.5,107.5,28,2
