threshold,roi,hit_rate,bet_count,avg_odds_hit,period
0.5,74.09718707064863,13.37045339503941,13829,5.5473769605192,2020-2025
0.6,73.76822587442057,11.790981879477455,11865,6.261972837741244,2020-2025
0.7,73.40411025616052,10.548358819518846,10267,6.95881809787627,2020-2025
0.7999999999999999,73.71505256094834,9.617535227018564,8942,7.664651162790698,2020-2025
0.8999999999999999,72.92798564838544,8.572526909277293,7804,8.507174887892377,2020-2025
0.9999999999999999,71.33255576614665,7.581280069981047,6859,9.409038461538463,2020-2025
1.0999999999999999,73.16013768234716,7.211932470086871,6101,10.144318181818182,2020-2025
1.1999999999999997,74.52602739726028,6.885844748858448,5475,10.823076923076922,2020-2025
1.2999999999999998,74.95616717635068,6.5443425076452595,4905,11.453582554517135,2020-2025
1.4,72.99910071942446,5.98021582733813,4448,12.206766917293233,2020-2025
1.4999999999999998,70.68615308397325,5.449591280653951,4037,12.970909090909092,2020-2025
1.5999999999999996,70.22529858849076,5.103148751357221,3684,13.761170212765958,2020-2025
1.6999999999999997,67.66164747564216,4.694419840566874,3387,14.41320754716981,2020-2025
1.7999999999999998,65.51191242755957,4.185447520927238,3106,15.652307692307692,2020-2025
1.8999999999999997,64.3613707165109,3.8767739702319144,2889,16.601785714285715,2020-2025
1.9999999999999996,63.68968077208612,3.6748329621380846,2694,17.331313131313134,2020-2025
2.0999999999999996,62.84131381084289,3.442817570241393,2527,18.25287356321839,2020-2025
2.1999999999999997,60.840764331210195,3.1847133757961785,2355,19.104,2020-2025
2.3,60.82422586520947,3.051001821493625,2196,19.93582089552239,2020-2025
2.3999999999999995,62.76079573022805,3.056768558951965,2061,20.53174603174603,2020-2025
2.4999999999999996,63.62840967575912,2.9850746268656714,1943,21.315517241379315,2020-2025
2.5999999999999996,64.0415073730202,2.9492080830147462,1831,21.71481481481481,2020-2025
2.6999999999999993,62.036823935558104,2.761795166858458,1738,22.462500000000002,2020-2025
2.7999999999999994,58.56280193236715,2.536231884057971,1656,23.090476190476192,2020-2025
2.8999999999999995,58.72854418308964,2.542911633820725,1573,23.095000000000002,2020-2025
2.9999999999999996,57.58713136729223,2.3458445040214477,1492,24.54857142857143,2020-2025
3.0999999999999996,57.343640196767396,2.2487702037947996,1423,25.5,2020-2025
3.1999999999999993,58.96755162241887,2.286135693215339,1356,25.79354838709677,2020-2025
3.2999999999999994,59.629057187017,2.241112828438949,1294,26.606896551724137,2020-2025
3.3999999999999995,59.70779220779221,2.1915584415584415,1232,27.24444444444445,2020-2025
3.499999999999999,59.516539440203566,2.1204410517387617,1179,28.068,2020-2025
