condition,roi,hit_rate,count
得意場×5-20倍×Top1,78.64269141531322,9.918793503480279,1724
EV≥1.5×10-30倍×Top1,83.26016785022594,5.100064557779213,1549
EV≥2.0×5-15倍×Top1-2,67.88113695090439,6.5891472868217065,774
スコア8割+×10-50倍,75.0755939524838,4.463642908567315,5556
人気≤5×オッズ≥8×Top1,72.47619047619048,7.142857142857142,1470
20倍+×Top1×スコア≥0.05,56.935341009743134,2.0372010628875112,1129
高分散レース×Top1×5倍+,75.41329011345218,9.40032414910859,1234
