threshold,roi,hit_rate,bet_count,avg_prob,avg_odds,model,year
0.5,72.63398692810458,18.202614379084967,3060,0.29307786717771417,12.01013071895425,マーケットニュートラル,2022
0.6,71.41188959660298,16.454352441613587,2826,0.29767509742801285,12.778662420382165,マーケットニュートラル,2022
0.7,70.67835365853658,15.129573170731708,2624,0.29965214581464383,13.53574695121951,マーケットニュートラル,2022
0.7999999999999999,70.36651395251978,14.077467721782591,2401,0.30150104209204526,14.500333194502291,マーケットニュートラル,2022
0.8999999999999999,69.15454545454546,12.590909090909092,2200,0.3021271020065967,15.499909090909092,マーケットニュートラル,2022
0.9999999999999999,67.29249011857708,11.264822134387352,2024,0.3024679575803907,16.514723320158105,マーケットニュートラル,2022
1.0999999999999999,66.92266666666667,10.56,1875,0.3032129410220042,17.49232,マーケットニュートラル,2022
1.1999999999999997,66.90239625949738,9.701928696668615,1711,0.3022566737286426,18.760666277030975,マーケットニュートラル,2022
1.2999999999999998,66.20428751576293,8.953341740226985,1586,0.30128169875071686,19.878310214375787,マーケットニュートラル,2022
1.4,65.95858383433534,8.550434201736808,1497,0.30196124107303945,20.742551770207083,マーケットニュートラル,2022
1.4999999999999998,65.49062049062049,8.152958152958153,1386,0.30008782913199733,21.98932178932179,マーケットニュートラル,2022
1.5999999999999996,64.06055900621118,7.608695652173914,1288,0.2993178468309101,23.22274844720497,マーケットニュートラル,2022
1.6999999999999997,65.01248959200666,7.327227310574521,1201,0.2981090841025753,24.459450457951707,マーケットニュートラル,2022
1.7999999999999998,64.26548672566372,6.814159292035399,1130,0.29655156862296217,25.587699115044245,マーケットニュートラル,2022
1.8999999999999997,63.656927426955704,6.4090480678605095,1061,0.2958882372597064,26.79679547596607,マーケットニュートラル,2022
1.9999999999999996,62.17347956131605,6.181455633100698,1003,0.29407911976928663,27.942372881355933,マーケットニュートラル,2022
2.0999999999999996,60.729386892177594,5.708245243128964,946,0.29166797598910227,29.192071881606765,マーケットニュートラル,2022
2.1999999999999997,59.273743016759774,5.4748603351955305,895,0.2896857931435641,30.429608938547485,マーケットニュートラル,2022
2.3,57.49707602339181,5.029239766081871,855,0.2881600362278618,31.48795321637427,マーケットニュートラル,2022
2.3999999999999995,57.26600985221675,4.80295566502463,812,0.2859891355567786,32.73251231527094,マーケットニュートラル,2022
2.4999999999999996,51.877394636015325,4.342273307790549,783,0.2866140585944275,33.53295019157088,マーケットニュートラル,2022
2.5999999999999996,52.486631016042786,4.27807486631016,748,0.2860537235414246,34.629812834224595,マーケットニュートラル,2022
2.6999999999999993,50.46218487394958,3.9215686274509802,714,0.2839808509358972,35.85560224089636,マーケットニュートラル,2022
2.7999999999999994,51.95014662756597,3.9589442815249267,682,0.28460954238202657,36.928885630498534,マーケットニュートラル,2022
2.8999999999999995,50.884146341463406,3.6585365853658534,656,0.2819030528268933,38.04253048780488,マーケットニュートラル,2022
2.9999999999999996,50.14423076923077,3.3653846153846154,624,0.28042678637958346,39.411217948717955,マーケットニュートラル,2022
3.0999999999999996,49.230769230769226,3.0100334448160537,598,0.27883794514382576,40.60802675585284,マーケットニュートラル,2022
3.1999999999999993,44.0,2.586206896551724,580,0.2781843482864615,41.44258620689655,マーケットニュートラル,2022
3.2999999999999994,41.73214285714286,2.3214285714285716,560,0.2753925817841744,42.543214285714285,マーケットニュートラル,2022
3.3999999999999995,42.88073394495412,2.385321100917431,545,0.2744804881239055,43.36220183486239,マーケットニュートラル,2022
3.499999999999999,42.141491395793494,2.294455066921606,523,0.2746883137717243,44.51816443594646,マーケットニュートラル,2022
3.599999999999999,43.30058939096267,2.357563850687623,509,0.27336865334528243,45.414341846758354,マーケットニュートラル,2022
3.6999999999999993,43.81709741550696,2.3856858846918487,503,0.27400164772938324,45.751292246520876,マーケットニュートラル,2022
3.7999999999999994,38.90946502057613,2.05761316872428,486,0.27363384595159895,46.830658436213994,マーケットニュートラル,2022
3.8999999999999995,37.71488469601677,1.8867924528301887,477,0.27317578193164566,47.44423480083858,マーケットニュートラル,2022
3.999999999999999,35.074309978768575,1.6985138004246285,471,0.27353355540055097,47.81273885350318,マーケットニュートラル,2022
0.5,77.19809825673535,19.334389857369256,3155,0.32756160048461397,13.239080824088749,マーケットニュートラル,2023
0.6,77.09231805929919,18.328840970350406,2968,0.3336960497801167,13.890869272237197,マーケットニュートラル,2023
0.7,76.9247311827957,17.598566308243726,2790,0.33825797699850507,14.589713261648747,マーケットニュートラル,2023
0.7999999999999999,78.03959627329192,16.847826086956523,2576,0.341322825088161,15.541964285714284,マーケットニュートラル,2023
0.8999999999999999,77.78977980889074,15.579559617781472,2407,0.3420758024130077,16.41566265060241,マーケットニュートラル,2023
0.9999999999999999,76.49202733485193,14.168564920273349,2195,0.3434790485556098,17.66127562642369,マーケットニュートラル,2023
1.0999999999999999,75.92391304347825,13.142292490118576,2024,0.3431537085836825,18.83631422924901,マーケットニュートラル,2023
1.1999999999999997,74.828141783029,11.761546723952739,1862,0.34228166046505454,20.123093447905475,マーケットニュートラル,2023
1.2999999999999998,74.29394812680115,11.181556195965419,1735,0.3402901389690111,21.301268011527377,マーケットニュートラル,2023
1.4,73.34570191713048,10.265924551638838,1617,0.3402279098868274,22.502844774273342,マーケットニュートラル,2023
1.4999999999999998,71.7785234899329,9.261744966442953,1490,0.33720737459075095,24.043020134228193,マーケットニュートラル,2023
1.5999999999999996,70.29538904899135,8.357348703170029,1388,0.33538196150534183,25.438400576368878,マーケットニュートラル,2023
