group,avg_roi,std_roi,min_roi,max_roi,total_count,years_with_data,years_above_70,years_above_80,is_reproducible,is_strongly_reproducible,yearly_rois
11,90.42534722222221,6.901314634713236,79.40972222222223,98.47222222222223,1152,4,4,3,True,True,"[79.40972222222223, 91.84027777777779, 91.97916666666666, 98.47222222222223]"
7,89.61805555555556,14.67269660477801,73.85416666666667,105.20833333333333,1152,4,4,2,True,False,"[73.85416666666667, 103.29861111111111, 76.11111111111111, 105.20833333333333]"
9,81.76980497483547,4.629142585375166,76.875,89.02777777777777,1151,4,4,2,True,False,"[76.875, 89.02777777777777, 82.36111111111111, 78.81533101045297]"
4,80.80729166666667,11.47332707447959,72.98611111111111,100.5902777777778,1152,4,4,1,True,False,"[75.93749999999999, 73.71527777777777, 100.5902777777778, 72.98611111111111]"
1,78.0642361111111,8.151975304475368,64.51388888888889,86.04166666666667,1152,4,3,2,True,False,"[86.04166666666667, 64.51388888888889, 79.61805555555556, 82.08333333333333]"
12,77.49150091947348,15.643777510412331,58.020833333333336,100.90277777777779,1151,4,3,2,True,False,"[100.90277777777779, 58.020833333333336, 80.20905923344948, 70.83333333333334]"
3,71.71875,3.227346036936485,69.0625,77.04861111111111,1152,4,2,0,False,False,"[69.23611111111111, 69.0625, 77.04861111111111, 71.52777777777779]"
8,68.46487248354627,7.113979190185203,61.53310104529618,78.99305555555556,1151,4,2,0,False,False,"[78.99305555555556, 62.36111111111112, 61.53310104529618, 70.97222222222223]"
2,67.96875,10.137833492444267,55.27777777777777,83.4375,1152,4,1,1,False,False,"[64.72222222222223, 83.4375, 55.27777777777777, 68.4375]"
6,67.03993055555556,10.900023288596072,53.78472222222223,83.71527777777779,1152,4,1,1,False,False,"[62.534722222222214, 68.12499999999999, 83.71527777777779, 53.78472222222223]"
10,66.05034722222221,7.494064934009219,58.2986111111111,78.40277777777777,1152,4,1,0,False,False,"[78.40277777777777, 58.2986111111111, 64.58333333333334, 62.916666666666664]"
5,64.36631944444444,8.033763890257534,53.888888888888886,72.91666666666666,1152,4,2,0,False,False,"[59.27083333333334, 53.888888888888886, 72.91666666666666, 71.3888888888889]"
