odds_band,score_rank,roi,hit_rate,count
1-3倍,Top1,77.32715430861722,38.92785571142284,3992
1-3倍,Top2,84.75568456700533,40.20319303338171,2067
1-3倍,Top3,80.97834803528468,37.69045709703288,1247
3-5倍,Top1,77.55212564310858,20.525318169509884,3693
3-5倍,Top2,77.53521126760563,20.262483994878362,3124
3-5倍,Top3,87.24020442930151,22.529812606473595,2348
5-10倍,Top1,75.16326530612245,11.39941690962099,3430
5-10倍,Top2,77.69387755102042,11.63265306122449,3920
5-10倍,Top3,68.46252566735114,10.318275154004107,3896
10-20倍,Top1,83.7067861715749,6.338028169014084,1562
10-20倍,Top2,73.46023688663283,5.414551607445008,2364
10-20倍,Top3,82.22260748959779,6.067961165048544,2884
20-50倍,Top1,74.65737514518001,2.671312427409988,861
20-50倍,Top2,84.46440025657472,2.758178319435536,1559
20-50倍,Top3,75.21861777150917,2.7738598965679357,2127
50倍+,Top1,0.0,0.0,283
50倍+,Top2,80.94027954256671,1.2706480304955527,787
50倍+,Top3,52.19105382865807,0.7581501137225171,1319
