threshold,roi,hit_rate,bet_count,avg_odds_hit,model,year
0.5,72.88830715532286,13.263525305410123,2292,5.500657894736842,V15_Binary（的中型）,2022
0.6,71.87563195146612,11.627906976744185,1978,6.181304347826087,V15_Binary（的中型）,2022
0.7,70.97058823529412,10.117647058823529,1700,7.0145348837209305,V15_Binary（的中型）,2022
0.7999999999999999,71.37491616364855,9.25553319919517,1491,7.711594202898551,V15_Binary（的中型）,2022
0.8999999999999999,71.19515885022693,8.245083207261725,1322,8.634862385321101,V15_Binary（的中型）,2022
0.9999999999999999,70.14554794520548,7.363013698630137,1168,9.526744186046512,V15_Binary（的中型）,2022
1.0999999999999999,71.57142857142857,7.0476190476190474,1050,10.155405405405405,V15_Binary（的中型）,2022
1.1999999999999997,76.00425079702444,7.226354941551541,941,10.517647058823528,V15_Binary（的中型）,2022
1.2999999999999998,77.86729857819907,6.872037914691943,844,11.331034482758621,V15_Binary（的中型）,2022
1.4,77.33860342555995,6.455862977602108,759,11.979591836734693,V15_Binary（的中型）,2022
1.4999999999999998,75.63318777292577,5.822416302765648,687,12.989999999999998,V15_Binary（的中型）,2022
1.5999999999999996,75.5591054313099,5.5910543130990416,626,13.514285714285712,V15_Binary（的中型）,2022
1.6999999999999997,70.5944055944056,5.244755244755245,572,13.459999999999997,V15_Binary（的中型）,2022
1.7999999999999998,67.91353383458647,4.6992481203007515,532,14.452,V15_Binary（的中型）,2022
1.8999999999999997,64.46428571428571,4.365079365079365,504,14.768181818181818,V15_Binary（的中型）,2022
1.9999999999999996,68.05555555555556,4.487179487179487,468,15.166666666666664,V15_Binary（的中型）,2022
2.0999999999999996,63.48416289592761,4.072398190045249,442,15.588888888888887,V15_Binary（的中型）,2022
2.1999999999999997,65.46341463414633,4.146341463414634,410,15.788235294117646,V15_Binary（的中型）,2022
2.3,63.22916666666667,3.90625,384,16.186666666666664,V15_Binary（的中型）,2022
2.3999999999999995,61.02272727272727,3.4090909090909087,352,17.9,V15_Binary（的中型）,2022
2.4999999999999996,62.89156626506024,3.313253012048193,332,18.98181818181818,V15_Binary（的中型）,2022
2.5999999999999996,68.01302931596092,3.5830618892508146,307,18.98181818181818,V15_Binary（的中型）,2022
2.6999999999999993,64.22680412371133,3.0927835051546393,291,20.766666666666666,V15_Binary（的中型）,2022
2.7999999999999994,57.607142857142854,2.5,280,23.042857142857144,V15_Binary（的中型）,2022
2.8999999999999995,60.867924528301884,2.6415094339622645,265,23.042857142857144,V15_Binary（的中型）,2022
2.9999999999999996,64.52,2.8000000000000003,250,23.042857142857144,V15_Binary（的中型）,2022
3.0999999999999996,58.06584362139917,2.4691358024691357,243,23.516666666666666,V15_Binary（的中型）,2022
3.1999999999999993,61.61572052401747,2.6200873362445414,229,23.516666666666666,V15_Binary（的中型）,2022
3.2999999999999994,59.62264150943396,2.358490566037736,212,25.28,V15_Binary（的中型）,2022
3.3999999999999995,61.359223300970875,2.4271844660194173,206,25.28,V15_Binary（的中型）,2022
3.499999999999999,65.49222797927462,2.5906735751295336,193,25.28,V15_Binary（的中型）,2022
3.599999999999999,67.59358288770055,2.6737967914438503,187,25.28,V15_Binary（的中型）,2022
3.6999999999999993,50.393258426966305,2.247191011235955,178,22.425000000000004,V15_Binary（的中型）,2022
3.7999999999999994,41.8452380952381,1.7857142857142856,168,23.433333333333337,V15_Binary（的中型）,2022
3.8999999999999995,43.664596273291934,1.8633540372670807,161,23.433333333333337,V15_Binary（的中型）,2022
3.999999999999999,45.94771241830066,1.9607843137254901,153,23.433333333333337,V15_Binary（的中型）,2022
0.5,77.05150462962963,17.30324074074074,3456,4.455685618729097,V4.4_Residual（穴馬検出型）,2022
0.6,77.05150462962963,17.30324074074074,3456,4.455685618729097,V4.4_Residual（穴馬検出型）,2022
0.7,77.05150462962963,17.30324074074074,3456,4.455685618729097,V4.4_Residual（穴馬検出型）,2022
0.7999999999999999,77.04196816208395,17.27930535455861,3455,4.461306532663317,V4.4_Residual（穴馬検出型）,2022
0.8999999999999999,77.02405099971023,17.212402202260215,3451,4.477609427609427,V4.4_Residual（穴馬検出型）,2022
0.9999999999999999,76.98228289282602,17.078129538193437,3443,4.510374149659865,V4.4_Residual（穴馬検出型）,2022
1.0999999999999999,76.96058394160585,16.846715328467155,3425,4.57105719237435,V4.4_Residual（穴馬検出型）,2022
1.1999999999999997,76.79562906083875,16.272888363851152,3386,4.722141560798548,V4.4_Residual（穴馬検出型）,2022
1.2999999999999998,76.56783468104223,15.663372267145853,3339,4.8913957934990435,V4.4_Residual（穴馬検出型）,2022
1.4,76.3979312442957,15.089747490112565,3287,5.066129032258065,V4.4_Residual（穴馬検出型）,2022
1.4999999999999998,76.64292350572933,14.74140600805203,3229,5.202521008403361,V4.4_Residual（穴馬検出型）,2022
1.5999999999999996,76.60056657223797,14.290210890777463,3177,5.363876651982379,V4.4_Residual（穴馬検出型）,2022
