year,condition,bet_type,total,hits,hit_rate,roi,avg_return
2020,単勝 1-5倍,tansho,1965,574,29.21119592875318,77.43002544529261,2.6506968641114983
2020,単勝 5-10倍,tansho,825,101,12.242424242424242,80.06060606060606,6.53960396039604
2020,単勝 10-20倍,tansho,437,27,6.178489702517163,85.21739130434783,13.792592592592595
2020,単勝 20-50倍,tansho,178,3,1.6853932584269662,51.06741573033708,30.299999999999997
2020,単勝 50倍以上,tansho,50,1,2.0,100.8,50.4
2020,複勝 1-5倍,fukusho,1965,1193,60.712468193384225,82.26972010178116,1.3550712489522212
2020,複勝 5-10倍,fukusho,825,296,35.878787878787875,72.9090909090909,2.0320945945945943
2020,複勝 10-20倍,fukusho,437,81,18.53546910755149,59.06178489702516,3.1864197530864202
2020,複勝 20-50倍,fukusho,178,27,15.168539325842698,107.02247191011236,7.0555555555555545
2020,馬連 1-5倍,umaren,1965,185,9.414758269720101,76.61577608142494,8.137837837837838
2020,馬連 5-10倍,umaren,825,42,5.090909090909091,87.46666666666665,17.18095238095238
2020,馬連 10-20倍,umaren,437,11,2.517162471395881,89.38215102974829,35.50909090909091
2020,馬連 20-50倍,umaren,178,3,1.6853932584269662,53.65168539325843,31.833333333333332
2020,馬単 1-5倍,umatan,1965,113,5.750636132315521,77.2468193384224,13.432743362831859
2020,馬単 5-10倍,umatan,825,20,2.4242424242424243,101.58787878787878,41.905
2020,馬単 10-20倍,umatan,437,3,0.6864988558352403,53.31807780320366,77.66666666666667
2020,馬単 20-50倍,umatan,178,0,0.0,0.0,0.0
2020,三連複 1-5倍,sanrenpuku,1965,99,5.038167938931298,69.67938931297711,13.83030303030303
2020,三連複 5-10倍,sanrenpuku,825,18,2.181818181818182,61.115151515151524,28.01111111111111
2020,三連複 10-20倍,sanrenpuku,437,3,0.6864988558352403,168.99313501144164,246.16666666666666
2020,三連複 20-50倍,sanrenpuku,178,0,0.0,0.0,0.0
2021,単勝 1-5倍,tansho,1930,574,29.740932642487046,77.93782383419689,2.6205574912891985
2021,単勝 5-10倍,tansho,875,96,10.971428571428572,71.48571428571428,6.515625
2021,単勝 10-20倍,tansho,402,19,4.72636815920398,60.57213930348259,12.815789473684212
2021,単勝 20-50倍,tansho,178,4,2.247191011235955,62.30337078651685,27.724999999999998
2021,単勝 50倍以上,tansho,67,0,0.0,0.0,0.0
2021,複勝 1-5倍,fukusho,1930,1176,60.93264248704663,82.09844559585491,1.3473639455782314
2021,複勝 5-10倍,fukusho,875,334,38.17142857142857,77.97714285714287,2.042814371257485
2021,複勝 10-20倍,fukusho,402,96,23.88059701492537,78.18407960199005,3.2739583333333333
2021,複勝 20-50倍,fukusho,178,23,12.921348314606742,61.853932584269664,4.78695652173913
2021,馬連 1-5倍,umaren,1930,191,9.896373056994818,65.00518134715026,6.5685863874345545
2021,馬連 5-10倍,umaren,875,43,4.914285714285714,74.83428571428571,15.227906976744187
2021,馬連 10-20倍,umaren,402,5,1.2437810945273633,30.99502487562189,24.919999999999998
2021,馬連 20-50倍,umaren,178,1,0.5617977528089888,5.44943820224719,9.7
2021,馬単 1-5倍,umatan,1930,106,5.492227979274611,62.233160621761655,11.331132075471697
2021,馬単 5-10倍,umatan,875,21,2.4,96.57142857142857,40.23809523809524
2021,馬単 10-20倍,umatan,402,1,0.24875621890547264,7.611940298507464,30.6
2021,馬単 20-50倍,umatan,178,1,0.5617977528089888,24.15730337078652,43.0
2021,三連複 1-5倍,sanrenpuku,1930,92,4.766839378238342,64.40932642487046,13.51195652173913
2021,三連複 5-10倍,sanrenpuku,875,22,2.5142857142857142,49.52,19.69545454545455
2021,三連複 10-20倍,sanrenpuku,402,7,1.7412935323383085,140.02487562189054,80.41428571428571
2021,三連複 20-50倍,sanrenpuku,178,1,0.5617977528089888,25.224719101123593,44.9
2022,単勝 1-5倍,tansho,1916,598,31.210855949895617,80.72546972860127,2.586454849498328
2022,単勝 5-10倍,tansho,843,87,10.320284697508896,67.48517200474495,6.539080459770115
2022,単勝 10-20倍,tansho,420,29,6.904761904761905,91.28571428571428,13.22068965517241
2022,単勝 20-50倍,tansho,217,4,1.8433179723502304,51.059907834101395,27.700000000000003
2022,単勝 50倍以上,tansho,55,0,0.0,0.0,0.0
2022,複勝 1-5倍,fukusho,1916,1216,63.465553235908146,83.97181628392485,1.3231085526315791
2022,複勝 5-10倍,fukusho,843,327,38.79003558718861,77.27164887307238,1.9920489296636088
2022,複勝 10-20倍,fukusho,420,112,26.666666666666668,81.92857142857144,3.072321428571428
2022,複勝 20-50倍,fukusho,217,28,12.903225806451612,62.25806451612904,4.825000000000001
2022,馬連 1-5倍,umaren,1916,210,10.960334029227557,76.4874739039666,6.978571428571429
2022,馬連 5-10倍,umaren,843,35,4.151838671411625,57.852906287069985,13.934285714285716
2022,馬連 10-20倍,umaren,420,7,1.6666666666666667,38.66666666666666,23.2
2022,馬連 20-50倍,umaren,217,4,1.8433179723502304,61.65898617511522,33.45
2022,馬単 1-5倍,umatan,1916,129,6.732776617954071,82.4634655532359,12.248062015503876
2022,馬単 5-10倍,umatan,843,16,1.8979833926453145,58.837485172004754,31.0
2022,馬単 10-20倍,umatan,420,2,0.4761904761904762,25.571428571428573,53.7
2022,馬単 20-50倍,umatan,217,1,0.4608294930875576,42.672811059907836,92.6
2022,三連複 1-5倍,sanrenpuku,1916,107,5.5845511482254695,73.03235908141963,13.077570093457943
2022,三連複 5-10倍,sanrenpuku,843,23,2.7283511269276395,43.53499406880189,15.956521739130437
2022,三連複 10-20倍,sanrenpuku,420,8,1.9047619047619049,103.50000000000001,54.3375
2022,三連複 20-50倍,sanrenpuku,217,0,0.0,0.0,0.0
2023,単勝 1-5倍,tansho,1887,564,29.88871224165342,76.94223635400107,2.5742907801418435
2023,単勝 5-10倍,tansho,897,91,10.144927536231885,67.38015607580826,6.641758241758243
2023,単勝 10-20倍,tansho,374,27,7.219251336898395,98.42245989304813,13.633333333333333
2023,単勝 20-50倍,tansho,226,5,2.2123893805309733,57.07964601769911,25.8
2023,単勝 50倍以上,tansho,66,0,0.0,0.0,0.0
2023,複勝 1-5倍,fukusho,1887,1182,62.63910969793323,83.73608903020667,1.3368020304568526
2023,複勝 5-10倍,fukusho,897,316,35.22853957636566,71.56075808249722,2.031329113924051
2023,複勝 10-20倍,fukusho,374,92,24.598930481283425,75.98930481283423,3.0891304347826085
2023,複勝 20-50倍,fukusho,226,26,11.504424778761061,56.72566371681417,4.93076923076923
2023,馬連 1-5倍,umaren,1887,169,8.956014838367778,55.81875993640699,6.232544378698225
2023,馬連 5-10倍,umaren,897,40,4.459308807134894,73.12151616499443,16.3975
2023,馬連 10-20倍,umaren,374,13,3.4759358288770055,136.79144385026737,39.35384615384615
2023,馬連 20-50倍,umaren,226,2,0.8849557522123894,35.663716814159294,40.3
2023,馬単 1-5倍,umatan,1887,89,4.716481187069423,50.471648118706945,10.701123595505619
2023,馬単 5-10倍,umatan,897,17,1.89520624303233,53.1438127090301,28.041176470588233
2023,馬単 10-20倍,umatan,374,7,1.8716577540106951,165.1871657754011,88.25714285714287
2023,馬単 20-50倍,umatan,226,0,0.0,0.0,0.0
2023,三連複 1-5倍,sanrenpuku,1887,84,4.451510333863275,55.06624271330154,12.370238095238093
2023,三連複 5-10倍,sanrenpuku,897,29,3.2329988851727984,51.24860646599777,15.851724137931035
2023,三連複 10-20倍,sanrenpuku,374,6,1.6042780748663104,35.61497326203209,22.2
2023,三連複 20-50倍,sanrenpuku,226,1,0.4424778761061947,8.053097345132743,18.2
2024,単勝 1-5倍,tansho,1928,589,30.549792531120335,77.12655601659752,2.524617996604414
2024,単勝 5-10倍,tansho,853,112,13.130128956623683,86.23681125439624,6.567857142857142
2024,単勝 10-20倍,tansho,388,22,5.670103092783505,72.24226804123711,12.740909090909092
2024,単勝 20-50倍,tansho,212,7,3.30188679245283,84.15094339622641,25.485714285714288
2024,単勝 50倍以上,tansho,68,0,0.0,0.0,0.0
2024,複勝 1-5倍,fukusho,1928,1202,62.344398340248965,82.39107883817427,1.3215474209650582
2024,複勝 5-10倍,fukusho,853,315,36.928487690504106,75.9202813599062,2.055873015873016
2024,複勝 10-20倍,fukusho,388,93,23.969072164948454,70.46391752577318,2.9397849462365597
2024,複勝 20-50倍,fukusho,212,40,18.867924528301888,96.93396226415094,5.1375
2024,馬連 1-5倍,umaren,1928,205,10.632780082987551,71.16701244813277,6.693170731707316
2024,馬連 5-10倍,umaren,853,34,3.985932004689332,80.3282532239156,20.152941176470588
2024,馬連 10-20倍,umaren,388,9,2.3195876288659796,76.62371134020619,33.03333333333333
2024,馬連 20-50倍,umaren,212,4,1.8867924528301887,98.06603773584904,51.974999999999994
2024,馬単 1-5倍,umatan,1928,116,6.016597510373444,63.65663900414938,10.580172413793104
2024,馬単 5-10倍,umatan,853,12,1.406799531066823,83.42321219226261,59.300000000000004
2024,馬単 10-20倍,umatan,388,3,0.7731958762886598,56.829896907216494,73.5
2024,馬単 20-50倍,umatan,212,1,0.4716981132075472,46.4622641509434,98.5
2024,三連複 1-5倍,sanrenpuku,1928,117,6.068464730290456,81.53526970954357,13.435897435897434
2024,三連複 5-10倍,sanrenpuku,853,31,3.6342321219226257,181.28956623681128,49.88387096774194
2024,三連複 10-20倍,sanrenpuku,388,7,1.804123711340206,59.02061855670103,32.714285714285715
2024,三連複 20-50倍,sanrenpuku,212,4,1.8867924528301887,64.62264150943396,34.25
2025,単勝 1-5倍,tansho,1954,561,28.710337768679633,74.98976458546572,2.611942959001783
