year,total_races,overall_hit_rate,overall_roi,odds_1_2_roi,odds_1_2_count,odds_1_2_hit_rate,odds_2_5_roi,odds_2_5_count,odds_2_5_hit_rate,odds_5_10_roi,odds_5_10_count,odds_5_10_hit_rate,odds_10_20_roi,odds_10_20_count,odds_10_20_hit_rate,odds_20_50_roi,odds_20_50_count,odds_20_50_hit_rate,odds_50_1000_roi,odds_50_1000_count,odds_50_1000_hit_rate,pop_1_2_roi,pop_1_2_count,pop_2_3_roi,pop_2_3_count,pop_3_6_roi,pop_3_6_count,pop_6_11_roi,pop_6_11_count,pop_11_19_roi,pop_11_19_count,score_Q1_roi,score_Q1_count,score_Q2_roi,score_Q2_count,score_Q3_roi,score_Q3_count,score_Q4_roi,score_Q4_count,high_odds_fukusho_roi,high_odds_fukusho_top3_rate,high_odds_fukusho_count
2025,3455,18.69753979739508,71.6671490593343,72.4884792626728,434,46.54377880184332,68.01647220315718,1457,22.58064516129032,69.60709759188846,789,10.392902408111533,75.3268765133172,413,5.569007263922518,121.171875,256,3.90625,0.0,106,0.0,68.2464846980976,1209,73.01470588235294,680,68.53968253968254,945,92.14559386973181,522,26.060606060606062,99,68.70370370370371,864,70.09259259259261,864,74.41483198146003,863,73.46064814814815,864,99.69726562500001,13.671875,256
2024,3454,21.077012159814707,82.77649102489868,78.85281385281385,462,50.43290043290043,79.64974982130094,1399,25.44674767691208,79.08188585607941,806,12.158808933002481,95.18957345971565,422,7.345971563981042,89.48818897637796,254,3.149606299212598,102.79279279279278,111,1.8018018018018018,78.66032843560933,1157,77.31166912850814,677,84.39363817097414,1006,85.65302144249513,513,135.84158415841586,101,86.08796296296296,864,79.14252607184241,863,83.67323290845886,863,82.19907407407408,864,107.55905511811025,13.385826771653544,254
2023,3456,19.386574074074073,77.24247685185185,79.94505494505495,364,50.27472527472527,82.66094420600858,1398,26.967095851216023,68.74695863746958,822,10.218978102189782,44.336099585062236,482,3.319502074688797,89.93031358885017,287,2.7874564459930316,180.58252427184468,103,1.9417475728155338,81.11213235294117,1088,73.11953352769679,686,75.05070993914808,986,63.581081081081095,592,162.5,104,101.05324074074073,864,58.09027777777778,864,64.39814814814815,864,85.42824074074073,864,89.15505226480836,12.543554006968641,287
2022,3456,20.37037037037037,74.75405092592592,75.43080939947781,383,48.825065274151434,79.96598639455785,1470,25.918367346938776,86.38118214716526,829,13.027744270205066,75.6280193236715,414,5.797101449275362,33.17343173431734,271,1.4760147601476015,0.0,89,0.0,78.46487424111014,1153,80.01494768310911,669,80.92396535129932,1039,60.53999999999999,500,0.0,95,68.11342592592592,864,71.71296296296296,864,79.03935185185185,864,80.15046296296295,864,71.73431734317343,11.07011070110701,271
2021,3456,19.47337962962963,79.09432870370371,79.5702005730659,349,50.1432664756447,75.02049180327869,1464,24.316939890710383,82.8084606345476,851,12.220916568742656,91.73626373626375,455,6.593406593406594,92.31372549019609,255,3.1372549019607843,0.0,82,0.0,76.34334763948499,1165,75.56868537666175,677,79.79736575481257,987,101.85046728971963,535,0.0,92,66.1111111111111,864,73.93518518518518,864,88.59953703703704,864,87.73148148148148,864,103.17647058823532,14.117647058823529,255
2020,3456,19.675925925925927,76.23553240740742,78.2451253481894,359,47.63231197771588,78.74226804123711,1455,26.18556701030928,74.33660933660934,814,11.179361179361178,89.60416666666666,480,6.458333333333334,64.27509293680298,269,2.2304832713754648,0.0,79,0.0,81.36869118905047,1169,70.66165413533835,665,76.13197969543147,985,76.30188679245283,530,55.42056074766355,107,80.7175925925926,864,87.84722222222221,864,65.13888888888889,864,71.23842592592592,864,112.5185873605948,15.613382899628252,269
