period,edge_thresh,n_bets,hit_rate,roi,adj_applied
Valid,1.0,833,0.06602641056422569,0.7805522208883553,0.5402160864345739
Valid,1.2,665,0.05112781954887218,0.7433082706766917,0.5413533834586466
Valid,1.5,522,0.044061302681992334,0.7446360153256705,0.5459770114942529
Valid,2.0,361,0.027700831024930747,0.6221606648199446,0.5761772853185596
Test,1.0,1529,0.05559189012426422,0.7068018312622629,0.514061478090255
Test,1.2,1259,0.04209690230341541,0.6890389197776012,0.5234312946783162
Test,1.5,985,0.03857868020304569,0.7380710659898477,0.5350253807106599
Test,2.0,703,0.029871977240398292,0.7530583214793741,0.5689900426742532
