feature,importance
horse_weight_zscore,3983
horse_weight_diff_from_avg,3823
basis_weight_zscore,3795
weight_diff_from_avg,3460
age_zscore,2380
bracket_avg_finish,2215
pace_fit_score,2152
bms_avg_finish,2034
trainer_新潟_win_rate,1929
bms_win_rate,1896
nicks_avg_finish,1853
trainer_win_rate,1852
combo_avg_popularity,1805
trainer_札幌_win_rate,1760
sire_course_avg_finish,1743
sire_win_rate,1705
sire_avg_finish,1691
sire_course_win_rate,1671
trainer_東京_win_rate,1631
jockey_新潟_win_rate,1629
dist_avg_time,1620
trainer_小倉_win_rate,1598
combo_overperform,1589
jockey_小倉_win_rate,1530
surface_races,1509
combo_avg_finish,1503
trainer_中京_win_rate,1483
trainer_阪神_win_rate,1473
past_3_last_3f_time_std,1440
days_since_last_race,1438
jockey_sprint_win_rate,1430
past_10_passing_order_1_std,1399
jockey_中京_win_rate,1386
jockey_long_win_rate,1334
past_5_last_3f_time_std,1273
trainer_京都_win_rate,1268
dist_avg_finish,1265
jockey_東京_win_rate,1263
past_10_last_3f_time_std,1262
jockey_intermediate_win_rate,1245
past_10_finish_position_std,1245
venue_avg_finish,1240
jockey_阪神_win_rate,1220
surface_avg_last3f,1199
surface_avg_finish,1191
past_5_finish_position_std,1180
jockey_ダート_win_rate,1163
jockey_芝_win_rate,1162
jockey_mile_win_rate,1144
nicks_win_rate,1105
combo_win_rate,1079
past_3_finish_position_std,1045
past_5_passing_order_4_mean,1039
past_10_last_3f_time_max,1029
past_10_passing_order_1_mean,1027
past_1_last_3f_time_max,1023
jockey_win_rate,974
past_3_passing_order_1_std,957
past_3_last_3f_time_mean,856
past_10_last_3f_time_mean,851
past_10_finish_position_mean,843
past_5_passing_order_1_mean,833
past_3_passing_order_1_mean,735
past_5_finish_position_mean,712
past_10_last_3f_time_median,698
past_3_last_3f_time_median,694
past_5_last_3f_time_median,665
past_1_passing_order_1_max,626
past_1_finish_position_max,625
jockey_unknown_win_rate,614
past_3_finish_position_mean,595
age,550
avg_finish_last10,523
past_10_passing_order_1_median,503
past_3_finish_position_median,434
past_3_passing_order_1_max,428
past_10_finish_position_median,406
past_5_finish_position_median,308
track_ダート,117
win_rate_last10,47
