period,edge_thresh,conf_thresh,n_races,umaren_hits,umaren_roi,umatan_hits,umatan_roi,sanrenpuku_hits,sanrenpuku_roi,sanrentan_hits,sanrentan_roi
Valid,1.0,0.0,1181,53,0.4327688399661304,32,0.42133784928027096,14,0.4166807790008467,3,0.07222692633361558
Valid,1.2,0.1,304,21,0.8065789473684211,12,0.4549342105263158,9,0.8976973684210526,3,0.2805921052631579
Valid,1.5,0.1,181,11,0.6883977900552486,7,0.3839779005524862,5,0.7447513812154696,1,0.225414364640884
Test,1.0,0.0,2145,131,0.7104428904428904,76,0.7048484848484848,34,0.22951048951048952,13,0.3625174825174825
Test,1.2,0.1,574,40,0.8385017421602787,25,1.2050522648083624,5,0.07177700348432056,2,0.0578397212543554
Test,1.5,0.1,376,25,1.114095744680851,17,1.6515957446808511,2,0.026595744680851064,1,0.040957446808510635
