race_id,horse_number,popularity,win_odds,pred_prob,pred_rank,finish_position,is_winner
202209011011,10,5,12.3,0.05030025291200602,14,7.0,False
202209011011,1,9,46.2,0.1246117423502138,5,8.0,False
202209011011,11,13,53.9,0.12152896473786222,6,9.0,False
202209011011,12,8,39.1,0.05440822500319126,13,10.0,False
202209011011,15,15,132.3,0.04317333069107498,15,11.0,False
202209011011,7,11,48.2,0.08140640154879991,11,12.0,False
202209011011,8,6,12.8,0.11442756796009892,7,13.0,False
202209011011,13,10,47.1,0.062330134619431835,12,14.0,False
202209011011,14,7,18.4,0.09000415307502338,9,15.0,False
202404030101,2,1,1.1,0.3863227535989318,1,1.0,True
202404030101,8,2,8.1,0.28064018687342274,2,2.0,False
202404030101,10,3,11.2,0.26759932754168986,3,3.0,False
202404030101,6,4,31.5,0.0318162486304882,7,4.0,False
202404030101,11,12,362.7,0.01810062055323291,9,5.0,False
202404030101,7,5,104.9,0.01107966152437362,11,6.0,False
202404030101,12,6,158.7,0.027522485385887505,8,7.0,False
202404030101,1,11,242.8,0.07345569828587588,4,8.0,False
202404030101,4,8,163.9,0.04068679368943272,5,9.0,False
202404030101,9,7,163.8,0.0033980714737337544,12,10.0,False
202404030101,5,9,168.4,0.03865403087675811,6,11.0,False
202404030101,3,10,194.7,0.01686337843359316,10,12.0,False
202105020707,6,1,1.6,0.2994960766556851,1,1.0,True
202105020707,8,2,3.2,0.08962011821317728,3,2.0,False
202105020707,5,3,3.8,0.29720712191933757,2,3.0,False
202105020707,4,5,92.2,0.020579961442354154,5,4.0,False
202105020707,3,4,30.5,0.009788161554866726,6,5.0,False
202105020707,2,7,159.4,0.00145070113733918,7,6.0,False
202105020707,7,6,126.6,0.024193002340720658,4,7.0,False
202105020707,1,8,170.2,0.0010897565235083973,8,8.0,False
202407030309,3,5,15.0,0.07117530339789072,5,1.0,True
202407030309,5,4,4.5,0.30708752074075274,3,2.0,False
202407030309,2,2,3.1,0.44438548106135883,1,3.0,False
202407030309,1,1,2.7,0.3765120387207695,2,4.0,False
202407030309,4,3,3.6,0.10660329804667423,4,5.0,False
202106040207,2,4,19.5,0.027159877683252693,8,1.0,True
202106040207,12,7,42.2,0.034446480431325616,7,2.0,False
202106040207,9,3,15.6,0.09734016687501179,4,3.0,False
202106040207,6,1,1.1,0.24579757786700912,1,4.0,False
202106040207,14,8,58.8,0.04614274736182462,5,5.0,False
202106040207,13,2,7.2,0.17900601845609712,2,6.0,False
202106040207,7,5,23.0,0.03786267240775694,6,7.0,False
202106040207,10,9,64.6,0.017452683878834238,9,8.0,False
202106040207,3,12,130.7,0.014638807230032483,10,9.0,False
202106040207,4,10,64.7,0.1403282947675208,3,10.0,False
202106040207,11,11,120.8,0.006043846692237689,12,11.0,False
202106040207,1,14,268.3,0.0033391713977978053,13,12.0,False
202106040207,8,6,40.2,0.008740356729431084,11,13.0,False
202106040207,5,13,262.2,0.00300355544704264,14,14.0,False
202305050410,5,3,8.3,0.17838567546032644,2,1.0,True
202305050410,14,4,9.0,0.07820902467917201,5,2.0,False
202305050410,7,1,1.5,0.2501120849922236,1,3.0,False
202305050410,1,14,165.9,0.015400228573028004,12,4.0,False
202305050410,4,5,15.4,0.1355322239781808,3,5.0,False
202305050410,12,11,83.0,0.03389079536209071,11,6.0,False
202305050410,13,12,99.8,0.04648203830868933,8,7.0,False
202305050410,2,2,6.0,0.11549911715310199,4,8.0,False
202305050410,8,8,66.4,0.036837504855348716,10,9.0,False
202305050410,10,6,37.7,0.042164245166152615,9,10.0,False
202305050410,9,13,140.3,0.014181032718135093,13,11.0,False
202305050410,11,10,77.6,0.0529828113960088,6,12.0,False
202305050410,6,9,70.2,0.04972173424790596,7,13.0,False
202305050410,3,7,41.4,0.006123902876573424,14,14.0,False
202203020109,1,3,7.6,0.15099097840556086,3,1.0,True
202203020109,6,1,1.7,0.221107019923757,1,2.0,False
202203020109,7,5,12.1,0.08737548272308542,6,3.0,False
202203020109,5,4,9.9,0.07621637097575111,7,4.0,False
202203020109,2,10,130.2,0.038366839533716134,9,5.0,False
202203020109,8,7,18.0,0.11808563971307247,5,6.0,False
202203020109,9,2,5.3,0.2017888326296763,2,7.0,False
202203020109,4,6,16.8,0.12339259145306733,4,8.0,False
202203020109,3,9,108.6,0.04755933379102967,8,9.0,False
202203020109,10,8,32.4,0.026089480845256006,10,10.0,False
202210040709,1,2,3.5,0.1479244222267267,2,1.0,True
202210040709,2,1,3.3,0.17574485687177804,1,2.0,False
202210040709,7,3,4.5,0.10671095533590594,4,3.0,False
202210040709,8,9,70.2,0.012053582645901105,9,4.0,False
202210040709,10,4,6.2,0.14747718403917875,3,5.0,False
202210040709,4,6,15.5,0.03194688698589706,6,6.0,False
202210040709,6,5,7.2,0.08638527118741349,5,7.0,False
202210040709,3,7,19.9,0.02733259496179982,7,8.0,False
202210040709,9,10,80.2,0.013240836745063026,8,9.0,False
202210040709,5,8,50.8,0.005733977655177538,10,10.0,False
202510010107,13,1,4.4,0.09273273607963436,2,1.0,True
202510010107,5,7,12.1,0.07625072151103235,4,2.0,False
202510010107,4,10,36.7,0.02958456147584788,11,3.0,False
202510010107,12,2,5.0,0.07699760600486562,3,4.0,False
202510010107,2,4,6.9,0.06706103873958554,5,5.0,False
202510010107,7,15,127.6,0.036484766421395864,10,6.0,False
202510010107,1,3,6.3,0.10650298078496064,1,7.0,False
202510010107,15,5,7.1,0.03672982976356145,8,8.0,False
202510010107,6,8,18.9,0.03648625157262659,9,9.0,False
202510010107,16,9,21.3,0.014131436462476575,15,10.0,False
202510010107,14,11,44.2,0.021127951433661533,13,11.0,False
202510010107,3,12,59.8,0.019482536999304273,14,12.0,False
202510010107,8,14,86.2,0.03977081940485402,7,13.0,False
202510010107,10,6,9.5,0.05915243879649775,6,14.0,False
202510010107,11,16,251.6,0.012413606829636065,16,15.0,False
202510010107,9,13,80.6,0.029022980078660027,12,16.0,False
202407030703,1,4,7.0,0.06016512967269655,10,1.0,True
202407030703,9,1,3.2,0.2669291764637959,1,2.0,False
202407030703,2,6,17.8,0.062187081467112666,9,3.0,False
202407030703,6,11,37.4,0.12219442964022281,5,4.0,False
202407030703,5,15,100.7,0.03839927418938359,13,5.0,False
202407030703,3,17,120.5,0.04646172641910088,12,6.0,False
202407030703,10,2,4.0,0.17332402076446451,2,7.0,False
202407030703,12,12,46.9,0.1045289187995626,6,8.0,False
202407030703,15,8,33.6,0.03305617074696393,14,9.0,False
202407030703,17,14,85.2,0.021427064617910784,17,10.0,False
202407030703,8,7,27.5,0.029542381303705144,15,11.0,False
202407030703,11,10,36.9,0.09341000722765118,7,12.0,False
202407030703,13,5,14.5,0.08452322745797643,8,13.0,False
202407030703,7,18,321.7,0.012121147105920353,18,14.0,False
202407030703,16,13,70.5,0.053303930701711466,11,15.0,False
202407030703,4,16,110.8,0.026611313249615794,16,16.0,False
202407030703,14,3,5.0,0.12751236294216195,3,17.0,False
202407030703,18,9,35.2,0.1228530088601823,4,18.0,False
202408050202,3,3,5.0,0.36856793310793295,1,1.0,True
202408050202,4,5,7.4,0.08296517280508077,7,2.0,False
202408050202,2,2,4.0,0.3368230184509873,2,3.0,False
202408050202,10,7,16.0,0.20366687426470093,3,4.0,False
202408050202,1,8,37.5,0.015910086323532968,14,5.0,False
202408050202,14,6,9.8,0.1553300149951036,4,6.0,False
202408050202,5,1,3.4,0.1050594933693024,6,7.0,False
202408050202,7,11,136.3,0.025506219898577123,13,8.0,False
202408050202,6,9,103.1,0.04897485242159722,9,9.0,False
202408050202,12,14,155.2,0.07719601082485826,8,10.0,False
202408050202,9,4,6.9,0.1294024323519287,5,11.0,False
202408050202,13,13,143.0,0.04051368488506277,11,12.0,False
202408050202,11,12,140.9,0.03080714257379831,12,13.0,False
202408050202,8,10,112.1,0.04168600833008412,10,14.0,False
202009040401,5,1,1.3,0.3470035181345739,1,1.0,True
202009040401,9,5,36.6,0.05941611832311278,7,2.0,False
202009040401,1,8,60.6,0.15137474012961205,4,3.0,False
202009040401,7,4,16.0,0.055169573783347775,8,4.0,False
202009040401,8,2,4.0,0.32033162076169985,2,5.0,False
202009040401,6,6,39.7,0.14018042494272032,5,6.0,False
202009040401,2,3,11.6,0.20313473077892039,3,7.0,False
202009040401,3,9,96.7,0.00966516524183214,10,8.0,False
202009040401,10,7,55.4,0.12042275526876209,6,9.0,False
202009040401,4,10,180.7,0.02003486756922573,9,10.0,False
202008030204,13,7,14.7,0.0541548667899861,7,1.0,True
202008030204,5,3,8.4,0.08017309360867216,5,2.0,False
202008030204,1,1,1.9,0.6093415142410115,1,3.0,False
202008030204,14,4,11.6,0.012730724232046903,13,4.0,False
202008030204,16,6,14.2,0.06188571100212452,6,5.0,False
202008030204,8,8,28.6,0.18179021172818582,3,6.0,False
202008030204,4,9,55.5,0.028454264207448225,9,7.0,False
202008030204,18,15,141.8,0.005878886290608836,15,8.0,False
202008030204,2,2,5.8,0.22919807820308397,2,9.0,False
202008030204,11,5,12.0,0.021684494845549972,12,10.0,False
202008030204,12,16,142.6,0.01258435729230897,14,11.0,False
202008030204,6,13,122.4,0.02472883704918431,10,12.0,False
202008030204,3,14,129.1,0.030278963048425905,8,13.0,False
202008030204,17,11,59.7,0.14600459899602983,4,14.0,False
202008030204,7,12,101.2,0.005198873409929793,16,15.0,False
202008030204,15,10,56.8,0.004040784262933135,18,16.0,False
202008030204,9,18,293.6,0.021759225607574376,11,17.0,False
202008030204,10,17,235.3,0.004408862347293808,17,18.0,False
202209030310,10,4,8.4,0.07097434535069433,5,1.0,True
202209030310,12,2,4.2,0.14310211092407016,2,2.0,False
202209030310,4,12,35.7,0.043107116792478944,13,3.0,False
202209030310,9,10,33.2,0.045053398277350096,9,4.0,False
202209030310,2,1,4.0,0.2181882563509242,1,5.0,False
202209030310,8,6,9.3,0.04566639219717755,8,6.0,False
202209030310,1,9,32.4,0.02108092736521859,14,7.0,False
202209030310,13,5,8.4,0.1131760656964491,4,8.0,False
202209030310,5,13,36.3,0.044133827846001866,10,9.0,False
202209030310,11,3,5.6,0.12627378352618054,3,10.0,False
202209030310,3,14,155.1,0.00757804407646784,15,11.0,False
202209030310,6,7,16.2,0.04321572466650633,12,12.0,False
202209030310,15,8,26.4,0.052880406707729394,7,13.0,False
202209030310,14,11,35.1,0.04375089967478953,11,14.0,False
202507020105,11,3,4.6,0.19665299367182967,2,1.0,True
202507020105,12,1,2.6,0.32609910306199275,1,2.0,False
202507020105,2,4,7.2,0.03867636995776785,10,3.0,False
202507020105,14,2,4.4,0.15031575350098655,3,4.0,False
202507020105,7,15,277.3,0.0045750225507958315,16,5.0,False
202507020105,16,7,27.6,0.06287035007320767,6,6.0,False
202507020105,4,5,15.3,0.09434157066640769,5,7.0,False
202507020105,17,9,34.9,0.048072949403567794,9,8.0,False
202507020105,15,8,27.9,0.13543358281026935,4,9.0,False
202507020105,8,10,45.2,0.05435984315276535,7,10.0,False
202507020105,9,6,17.2,0.0305055131312346,11,11.0,False
202507020105,3,11,47.7,0.052394889830780604,8,12.0,False
202507020105,18,18,328.7,0.006556736249236412,15,13.0,False
202507020105,10,14,248.8,0.018343148774740605,13,14.0,False
202507020105,1,13,192.3,0.020327359128625797,12,15.0,False
202507020105,6,17,316.3,0.012808409521249939,14,16.0,False
202507020105,13,16,299.8,0.0005410699974833862,18,17.0,False
202507020105,5,12,168.9,0.0023527223226979367,17,,False
202507030103,6,2,2.1,0.37324068257467585,1,1.0,True
202507030103,3,1,2.0,0.3648552201216703,2,2.0,False
202507030103,4,5,44.3,0.22437563004594577,3,3.0,False
202507030103,1,4,7.6,0.19566430068942353,4,4.0,False
202507030103,5,3,7.2,0.14008757263435662,5,5.0,False
202507030103,2,6,69.8,0.08720438485045777,6,6.0,False
202009050112,2,1,2.6,0.22994044599897628,3,1.0,True
202009050112,13,2,3.3,0.3082498592013229,1,2.0,False
202009050112,3,4,11.0,0.17804133559761623,4,3.0,False
202009050112,9,6,21.9,0.12860877854171207,6,4.0,False
202009050112,4,8,22.9,0.13906797940949703,5,5.0,False
202009050112,6,3,5.2,0.2712898645994343,2,6.0,False
202009050112,5,5,20.7,0.049311162288425706,10,7.0,False
202009050112,1,11,87.5,0.07207859358238258,9,8.0,False
202009050112,11,12,120.1,0.048218024986980086,11,9.0,False
202009050112,7,10,25.3,0.03503532958089477,12,10.0,False
202009050112,8,13,180.1,0.016648732115404335,13,11.0,False
202009050112,10,9,23.4,0.07987656546302566,8,12.0,False
202009050112,12,7,22.8,0.11702843780879174,7,13.0,False
202307040606,13,1,2.9,0.12442841089128157,2,1.0,True
