filter,umaren_avg,umaren_std,umaren_consistency,umatan_avg,umatan_std,umatan_consistency,periods
E1.5_C0.1,0.614970527068675,0.40739711775941284,0.125,0.615777385963953,0.9298981162954536,0.375,8
E1.2_C0.1,0.5803125874509459,0.35423575613190833,0.125,0.5477443375775549,0.5716238839781927,0.25,8
E1.0_C0.1,0.6063630282959216,0.3236068087142552,0.0,0.5303869098796918,0.3968954295561045,0.125,8
E1.0_C0.0,0.539043072615327,0.20604987371614966,0.0,0.3918394157422156,0.28832504462695335,0.0,8
E1.2_C0.0,0.49645035956026357,0.1992503543797621,0.0,0.33655059344570926,0.2508717554513898,0.0,8
E1.5_C0.0,0.4693913015923892,0.20336090276279764,0.0,0.28050312083688683,0.26269033473598585,0.0,8
