test_year,roi,hit_rate,n_races,leak_check
2020,0.804843110504775,0.24283765347885403,1466,
2021,0.6940719830628087,0.22512350035285816,1417,
2022,0.7137377963737797,0.21338912133891214,1434,
2023,0.7342409802586795,0.23281143635125937,1469,
2024,0.7866114561766734,0.2463768115942029,1449,
2025,0.8100336700336701,0.22828282828282828,1485,
