feature,importance
past_1_finish_position_max,56549.13774204254
jockey_win_rate,41623.182102680206
past_5_finish_position_mean,29747.51233959198
past_3_finish_position_mean,29104.719801425934
age_zscore,23078.249633789062
past_1_finish_position_mean,21834.780205726624
past_3_finish_position_median,20554.95250749588
past_10_finish_position_mean,19492.689394950867
n_leaders,18209.385884284973
trainer_win_rate,18146.53711414337
jockey_芝_win_rate,17182.757736682892
surface_avg_finish,15619.09069108963
horse_weight_diff_from_avg,15283.256905555725
horse_weight_zscore,13718.148498535156
weight_diff_from_avg,11944.351014137268
jockey_intermediate_win_rate,11625.67465209961
bracket_avg_finish,11433.406110286713
trainer_新潟_win_rate,11280.043818473816
basis_weight_zscore,11235.844409942627
trainer_東京_win_rate,11080.942380905151
pace_fit_score,10996.224293708801
days_since_last_race,10679.204092502594
jockey_mile_win_rate,10657.442285060883
surface_races,10290.566278934479
jockey_ダート_win_rate,10214.949542999268
trainer_札幌_win_rate,10158.324560165405
venue_avg_finish,10103.537892341614
jockey_新潟_win_rate,9994.94302892685
trainer_中山_win_rate,9862.344581127167
past_3_last_3f_time_std,9833.186162471771
trainer_福島_win_rate,9562.799117088318
dist_avg_time,9291.808903217316
jockey_sprint_win_rate,9195.940124511719
past_10_finish_position_std,9065.36504650116
horse_weight,9052.730871200562
trainer_函館_win_rate,8802.153407096863
trainer_中京_win_rate,8791.175799369812
trainer_阪神_win_rate,8725.984631538391
trainer_小倉_win_rate,8513.064213752747
past_5_last_3f_time_std,8345.951616287231
past_1_last_3f_time_max,8287.02909374237
jockey_long_win_rate,8200.934071063995
past_3_finish_position_std,8164.976044654846
jockey_中京_win_rate,8145.370666980743
jockey_阪神_win_rate,8136.77978181839
jockey_福島_win_rate,8133.6954073905945
jockey_小倉_win_rate,8046.730490207672
dist_avg_finish,8004.59540605545
jockey_東京_win_rate,7944.249028205872
past_5_finish_position_std,7870.47319316864
past_10_finish_position_median,7800.5439710617065
past_10_passing_order_1_std,7698.093996524811
past_10_passing_order_1_mean,7695.01839017868
surface_avg_last3f,7612.4182472229
past_5_finish_position_median,7468.537073135376
trainer_京都_win_rate,7352.079530239105
jockey_札幌_win_rate,7230.397761821747
past_10_last_3f_time_std,7164.281370639801
past_10_last_3f_time_max,7153.490472316742
past_5_passing_order_1_std,6923.255418300629
jockey_中山_win_rate,6790.6485323905945
horse_number,6730.781938552856
jockey_函館_win_rate,6358.9577441215515
past_1_passing_order_1_max,6278.855629444122
dist_races,6216.391791820526
jockey_京都_win_rate,6191.863292694092
past_1_finish_position_median,6006.618542671204
age,5579.552959918976
past_3_passing_order_1_std,5447.673237800598
past_5_last_3f_time_mean,5373.10471534729
past_3_passing_order_1_mean,5301.247074127197
leader_ratio,5297.391155719757
distance_m,5108.19279050827
past_10_passing_order_4_std,5044.612114429474
past_10_last_3f_time_mean,4937.021420001984
past_10_last_3f_time_median,4848.001991271973
horse_weight_change,4771.427867412567
past_5_passing_order_1_mean,4737.246970176697
venue_races,4694.29792881012
past_3_last_3f_time_mean,4639.659921169281
bias_seasonal_score,4559.454164028168
past_3_last_3f_time_max,4478.28098154068
past_3_last_3f_time_median,4432.55141544342
past_5_last_3f_time_median,4316.749423027039
past_5_last_3f_time_max,4089.755961418152
past_5_passing_order_4_std,3963.5113019943237
basis_weight,3867.1376299858093
past_10_passing_order_4_mean,3816.0996508598328
day_of_meeting,3770.6614937782288
past_3_passing_order_4_std,3614.3865370750427
past_10_passing_order_1_median,3407.6919932365417
round_of_year,3382.6897015571594
past_5_passing_order_1_median,3311.8860039711
past_3_passing_order_1_median,3245.4091234207153
track_芝,2856.209599018097
past_5_passing_order_4_mean,2829.421754837036
past_3_finish_position_max,2752.4655838012695
distance_change,2743.351058483124
jockey_unknown_win_rate,2654.509491443634
past_10_finish_position_max,2546.0982208251953
prev_distance_m,2239.9098591804504
past_10_passing_order_1_max,2206.072885990143
past_3_passing_order_4_mean,2085.4905519485474
past_1_last_3f_time_mean,2054.9784145355225
past_3_passing_order_1_max,2032.0460057258606
past_10_passing_order_4_max,1855.0043988227844
past_5_passing_order_1_max,1778.407991886139
past_5_passing_order_4_median,1752.3671789169312
past_5_finish_position_max,1695.196973323822
past_5_passing_order_4_max,1664.023651599884
track_ダート,1611.5006704330444
past_3_passing_order_4_max,1593.5869283676147
past_10_passing_order_4_median,1585.7321062088013
past_1_passing_order_4_max,1574.029526233673
past_3_passing_order_4_median,1552.2454161643982
is_jockey_id_changed,1543.3407530784607
past_1_passing_order_1_mean,1368.6735200881958
is_distance_shortened,1142.5431203842163
jockey_marathon_win_rate,1100.3317775726318
bracket_is_middle,1081.703646183014
is_distance_lengthened,635.2523889541626
year,622.0185303688049
sex_牡,601.0567083358765
bracket_is_inner,533.7141962051392
sex_牝,527.45530128479
bracket_is_outer,448.24220037460327
past_1_last_3f_time_median,415.66365909576416
venue_change,395.96344661712646
surface_change,322.29554176330566
past_1_passing_order_4_mean,313.87907123565674
past_1_passing_order_1_median,256.0833601951599
past_1_passing_order_4_median,222.46803903579712
sex_セ,110.64468145370483
is_rest_return,98.93231010437012
is_trainer_id_changed,26.02048969268799
bias_dynamic_score,0.0
past_1_last_3f_time_std,0.0
past_1_passing_order_1_std,0.0
is_lone_leader,0.0
past_1_finish_position_std,0.0
past_1_passing_order_4_std,0.0
