bet_type,n_bets,n_hits,hit_rate,roi
tansho,5709,1940,0.3398143282536346,0.7924680329304606
fukusho,5709,3724,0.65230338062708,0.8489928183569803
umaren,5709,956,0.1674548957785952,0.828656507269224
umatan,5709,553,0.09686459975477317,0.8104396566824312
wide,5709,1854,0.324750394114556,0.8038535645472061
sanrenpuku,5709,539,0.09441233140655106,0.784095288141531
sanrentan,5709,136,0.023822035382729024,0.7728674023471711
