race_id,year,n_horses,odds_mean,odds_cv,top1_horse,top1_prob,top1_odds,top1_finish,top1_hit,top1_payout,top2_horse,top2_prob,top2_odds,top2_finish,winner_horse,winner_pred_rank,winner_pred_prob,winner_odds,prob_gap_1_2
202001010101,2020,6,28.583333333333332,1.0398793342215287,2,0.5656122660959605,1.9,2,False,0.0,3,0.2982000664705116,1.8,3,6,4,0.07037662180605908,16.0,0.2674121996254489
202001010103,2020,14,67.35714285714286,1.1473944692246993,6,0.28829548393541493,2.3,2,False,0.0,13,0.1640097170164881,25.6,8,2,3,0.14992550373442098,2.9,0.12428576691892684
202001010106,2020,15,44.373333333333335,0.9090245753352215,3,0.055105204426126396,55.8,9,False,0.0,2,0.054333752229832444,2.5,3,1,8,0.02222156937827259,4.6,0.0007714521962939522
202001010109,2020,8,15.687500000000002,0.7780880136828758,5,0.41495078209128966,1.9,2,False,0.0,4,0.0659633904529964,3.8,1,4,2,0.0659633904529964,3.8,0.3489873916382933
202001010111,2020,16,33.63125,1.0998718653289352,6,0.10015238368139598,7.2,6,False,0.0,4,0.09595891411012585,3.3,9,11,9,0.0493529237093078,4.2,0.004193469571270134
202001010112,2020,13,19.838461538461537,0.8343828348795478,6,0.13211430945658342,3.5,8,False,0.0,12,0.111879580668809,22.7,9,3,3,0.10337159452101122,5.2,0.020234728787774423
202001010201,2020,7,20.228571428571428,1.2653748719478655,7,0.3806577863174536,2.9,1,False,0.0,6,0.33156408224458284,3.4,5,4,4,0.22339018052397727,4.0,0.04909370407287078
202001010204,2020,12,27.966666666666665,1.0477432925380077,12,0.11928658415096732,12.3,5,False,0.0,6,0.11124059331951724,2.5,1,6,2,0.11124059331951724,2.5,0.008045990831450078
202001010207,2020,9,20.11111111111111,0.9770953703599838,4,0.4879534302759092,1.4,1,True,140.0,6,0.09536645885410097,14.9,6,4,1,0.4879534302759092,1.4,0.3925869714218082
202001010209,2020,10,18.849999999999998,0.699251961822322,1,0.1181111081115108,5.8,2,False,0.0,9,0.10328021238118816,8.4,6,7,6,0.047888447151358184,1.7,0.014830895730322646
202001010210,2020,13,21.23076923076923,0.9209796546583514,13,0.14616556058164865,4.8,3,False,0.0,5,0.12391667449073723,8.7,2,6,9,0.02676325100225436,8.2,0.022248886090911413
202001010212,2020,11,27.37272727272727,0.7945476156413407,9,0.14623345172481378,3.7,5,False,0.0,4,0.13986782442731147,1.7,1,4,2,0.13986782442731147,1.7,0.006365627297502313
202001010301,2020,9,29.144444444444446,1.3916314550340374,3,0.3100809250320762,2.9,1,True,290.0,7,0.21521096497117073,24.1,8,3,1,0.3100809250320762,2.9,0.09486996006090545
202001010306,2020,16,80.29375,1.2980618901042673,1,0.24269954612986813,2.4,2,False,0.0,8,0.11436209197385712,104.8,9,4,5,0.025746074986143813,31.1,0.128337454156011
202001010307,2020,9,46.711111111111116,1.0462220955646202,8,0.19978105618011702,2.1,2,False,0.0,4,0.18304328357746422,2.4,1,4,2,0.18304328357746422,2.4,0.0167377726026528
202001010309,2020,11,22.472727272727273,0.9707178778538177,9,0.11779147982469076,3.5,2,False,0.0,6,0.11235348483997218,23.8,9,1,3,0.09673633585331201,2.3,0.005437994984718586
202001010310,2020,10,50.06,1.354018264509756,10,0.22275927057507347,1.8,1,True,180.0,8,0.17685715050978937,8.8,2,10,1,0.22275927057507347,1.8,0.0459021200652841
202001010311,2020,14,25.25714285714286,0.8591800385174844,6,0.12296296355069591,14.0,6,False,0.0,8,0.08107378392361261,3.1,5,7,12,0.017278152213554217,9.3,0.0418891796270833
202001010403,2020,14,48.128571428571426,1.4225813382574828,14,0.15375018270919752,1.8,7,False,0.0,3,0.1039007036468404,7.2,3,13,11,0.013660334800310349,9.1,0.04984947906235712
202001010404,2020,16,41.5625,1.1166881896308836,15,0.2702285345768734,3.0,9,False,0.0,7,0.089380448627952,4.4,11,1,11,0.03426510619118972,4.2,0.1808480859489214
202001010407,2020,8,19.0375,0.8922013129251284,8,0.18600257570395623,1.5,4,False,0.0,1,0.138216091557264,6.5,8,3,5,0.05707206417391086,4.8,0.04778648414669223
202001010408,2020,6,11.416666666666666,0.8244270117503795,6,0.14035136125996822,8.2,3,False,0.0,1,0.13177958564515704,6.2,6,5,4,0.07601734982317285,1.3,0.008571775614811178
202001010411,2020,14,28.0,0.816257012346039,7,0.12030111058465692,5.3,10,False,0.0,9,0.10739685041188667,6.6,2,1,3,0.07635756471632152,43.7,0.012904260172770257
202001010412,2020,14,40.18571428571429,1.3492411272481215,7,0.17041968890397075,4.8,10,False,0.0,5,0.15703129941413596,6.5,8,3,4,0.09966903101573128,3.1,0.013388389489834784
202001010502,2020,8,19.8125,1.1131056225543077,5,0.5137572396111654,2.8,2,False,0.0,2,0.24505584548550802,2.0,3,1,6,0.04739451385462767,12.1,0.26870139412565736
202001010504,2020,14,37.36428571428571,1.0866648394434821,13,0.20165151276515847,3.9,12,False,0.0,11,0.10650022214540572,4.2,1,11,2,0.10650022214540572,4.2,0.09515129061975275
202001010506,2020,16,66.5375,1.2002712515742722,5,0.08850698246961473,15.4,5,False,0.0,12,0.0772507057138945,5.3,13,9,9,0.02670825946635983,3.7,0.011256276755720232
202001010509,2020,9,17.477777777777778,0.8519242615811615,5,0.32606852226520106,3.8,7,False,0.0,6,0.1700348817014444,2.7,4,3,3,0.11883286593813978,4.5,0.15603364056375665
202001010511,2020,14,53.85000000000001,1.5032171438903874,13,0.17142105066469085,6.2,5,False,0.0,11,0.13843536508084345,3.2,2,10,3,0.11770967586389527,3.6,0.0329856855838474
202001010512,2020,10,21.67,1.1580576922998678,5,0.17448836822654448,7.5,7,False,0.0,8,0.14875950242762778,1.9,4,1,7,0.025652255939863252,14.5,0.0257288657989167
202001010601,2020,8,22.8125,0.8831091485328385,4,0.1656916796920493,6.4,1,True,640.0,1,0.1121847434806829,36.5,3,4,1,0.1656916796920493,6.4,0.05350693621136639
202001010604,2020,16,46.425000000000004,1.3394583725492093,1,0.2777157301410344,3.8,3,False,0.0,4,0.08518180537871059,15.7,16,3,12,0.026345591210193135,15.0,0.1925339247623238
202001010606,2020,14,70.92142857142856,1.3623541992974226,6,0.3752163405068195,4.7,1,True,470.0,12,0.08630237837297708,23.7,12,6,1,0.3752163405068195,4.7,0.28891396213384246
202001010608,2020,9,13.38888888888889,1.08736630882831,5,0.07675759133516794,4.2,2,False,0.0,2,0.0652355543813722,8.1,4,8,4,0.04712077274573757,6.2,0.011522036953795736
202001010609,2020,13,19.56153846153846,0.8693317617178866,4,0.27504320203390065,2.1,2,False,0.0,2,0.23537038020326123,0.0,99,8,4,0.08017834670669492,4.3,0.039672821830639415
202001010610,2020,12,31.524999999999995,1.6806209987858043,11,0.05864868287669454,7.7,10,False,0.0,6,0.036995880090830734,177.0,11,1,4,0.03447000989133648,4.4,0.021652802785863803
202001010612,2020,16,36.425,1.1249162312628418,3,0.057449036521899026,20.0,7,False,0.0,14,0.052277913140718175,70.2,13,9,3,0.0420898060929189,2.4,0.0051711233811808505
202001020101,2020,6,14.633333333333335,1.1747839681169667,4,0.3093261137341506,1.9,1,True,190.0,2,0.2279341188490936,47.3,5,4,1,0.3093261137341506,1.9,0.081391994885057
202001020106,2020,16,60.3625,1.2499539382610942,13,0.23466790233623558,4.3,3,False,0.0,8,0.06307925243432937,18.3,8,11,12,0.010105775583428421,3.1,0.1715886499019062
202001020108,2020,8,17.7625,1.1307426146752482,8,0.2876559842759606,4.3,1,True,430.0,6,0.1867343185993113,2.3,5,8,1,0.2876559842759606,4.3,0.10092166567664931
202001020109,2020,13,52.21538461538462,1.5829537822874309,4,0.1521181154104504,3.1,3,False,0.0,13,0.07844690332671173,3.2,1,13,2,0.07844690332671173,3.2,0.07367121208373867
202001020110,2020,8,32.474999999999994,1.2864731468621136,7,0.35341319373230884,2.1,2,False,0.0,1,0.17267989214176271,17.7,8,6,4,0.07835099920574201,3.2,0.18073330159054612
202001020112,2020,12,43.85833333333333,1.3582926849369918,8,0.147837041621505,6.4,1,True,640.0,11,0.07803332750304648,37.8,6,8,1,0.147837041621505,6.4,0.06980371411845851
202001020201,2020,8,26.5625,1.22835763581425,6,0.2783674239017915,7.2,3,False,0.0,2,0.11591331606988811,1.9,2,8,7,0.03165546670229827,25.6,0.16245410783190337
202001020203,2020,14,78.44285714285714,1.5929114410399983,8,0.08149692223708524,4.1,7,False,0.0,3,0.05368278801422003,25.4,5,1,4,0.04009446346559397,3.3,0.02781413422286521
