horse_id,horse_name,birth_date,trainer_name,trainer_id,owner_name,breeder_name,producing_area,ancestor_id,ancestor_name,generation
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a001678,Kris,4
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a001677,Sharpen Up,5
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a0081eb,Doubly Sure,5
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a009ae6,Eljazzi,4
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a00003f,アーテイアス,5
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a0071e0,Border Bounty,5
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a012dce,Maine Lobster,2
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a001beb,Woodman,3
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a001607,Mr. Prospector,4
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a000e46,Raise a Native,5
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a007e0c,Gold Digger,5
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a006409,プレイメイト,4
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a000e0e,Buckpasser,5
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a007ca0,Intriguing,5
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a00aa74,Capades,3
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a001a74,Overskate,4
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a001384,Nodouble,5
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a008d9c,Overstate,5
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a00aa73,Medal of Valor,4
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a0010a8,Damascus,5
2014110029,マラードザレコード,2014-04-01,後藤佑耶,a034e,レックス,Cheveley Park Stud Ltd,英,000a00aa72,La Fuerza,5
2017101415,ウインマイティー,2017-04-01,西園正都,01028,ウイン,コスモヴューファーム,新冠町,2009102739,ゴールドシップ,1
2017101415,ウインマイティー,2017-04-01,西園正都,01028,ウイン,コスモヴューファーム,新冠町,1994108729,ステイゴールド,2
2017101415,ウインマイティー,2017-04-01,西園正都,01028,ウイン,コスモヴューファーム,新冠町,000a00033a,サンデーサイレンス,3
2017101415,ウインマイティー,2017-04-01,西園正都,01028,ウイン,コスモヴューファーム,新冠町,000a0012bf,Halo,4
2017101415,ウインマイティー,2017-04-01,西園正都,01028,ウイン,コスモヴューファーム,新冠町,000a000f2b,Hail to Reason,5
2017101415,ウインマイティー,2017-04-01,西園正都,01028,ウイン,コスモヴューファーム,新冠町,000a007459,Cosmah,5
2017101415,ウインマイティー,2017-04-01,西園正都,01028,ウイン,コスモヴューファーム,新冠町,000a008c1e,Wishing Well,4
2017101415,ウインマイティー,2017-04-01,西園正都,01028,ウイン,コスモヴューファーム,新冠町,000a0019b6,Understanding,5
2017101415,ウインマイティー,2017-04-01,西園正都,01028,ウイン,コスモヴューファーム,新冠町,000a008c1d,Mountain Flower,5
