type,edge_thresh,n_bets,hit_rate,roi
Raw,1.0,1512,0.05092592592592592,0.6818121693121693
Raw,1.5,964,0.03423236514522822,0.7098547717842324
Raw,2.0,700,0.02857142857142857,0.7305714285714285
Calibrated,1.0,1965,0.06768447837150127,0.6831043256997456
Calibrated,1.5,1241,0.0410958904109589,0.6775181305398872
Calibrated,2.0,887,0.03720405862457723,0.7463359639233371
