test_year,valid_year,train_size,valid_roi,test_roi,gap,valid_hit,test_hit
2020,2019,248287,68.00405561993047,74.26793981481481,6.263884194884341,23.986095017381228,24.10300925925926
2021,2020,295861,79.30266203703702,76.21817129629629,3.0844907407407334,24.363425925925927,23.958333333333336
2022,2021,344143,75.76099537037038,70.58449074074073,5.1765046296296475,25.028935185185187,24.45023148148148
2023,2022,391964,72.1238425925926,72.36400462962963,0.2401620370370381,24.16087962962963,24.10300925925926
2024,2023,439184,77.13541666666667,77.92414591777649,0.7887292511098138,25.665509259259263,27.127967573827444
