surface,train_size,test_size,auc,roi,hit_rate,num_races,pop1_roi,pop1_hit_rate,pop1_count,pop2_roi,pop2_hit_rate,pop2_count,pop3_roi,pop3_hit_rate,pop3_count,test_year,train_years
芝,125074,20112,0.7106248636135069,0.7675306957708049,0.2155525238744884,1466,0.7746930422919509,0.31377899045020463,1466,0.8262619372442018,0.19781718963165076,1466,0.8294679399727148,0.13506139154160982,1466,2020,2014-2019
芝,145186,19375,0.7141452559057458,0.8345095271700776,0.21524347212420608,1417,0.7925194071983063,0.32533521524347214,1417,0.7904022582921666,0.1926605504587156,1417,0.8299929428369794,0.14114326040931546,1417,2021,2014-2020
芝,164561,19362,0.7250734760079895,0.8268479776847977,0.21199442119944212,1434,0.7922594142259415,0.3312412831241283,1434,0.7811715481171548,0.1903765690376569,1434,0.7788005578800556,0.13110181311018132,1434,2022,2014-2021
芝,183923,19930,0.7146426176104244,0.8309734513274335,0.22328114363512594,1469,0.7851599727705924,0.32675289312457456,1469,0.8396868618107556,0.20285908781484002,1469,0.697004765146358,0.11980939414567733,1469,2023,2014-2022
芝,203853,19611,0.7323413423821957,0.8349896480331264,0.2463768115942029,1449,0.8011042097998621,0.3388543823326432,1449,0.8193926846100759,0.20496894409937888,1449,0.7690821256038648,0.13526570048309178,1449,2024,2014-2023
芝,223464,20246,0.714892918598055,0.8369023569023569,0.21481481481481482,1485,0.7335353535353535,0.3063973063973064,1485,0.8527946127946129,0.21414141414141413,1485,0.7897643097643098,0.13535353535353536,1485,2025,2014-2024
ダート,137434,22345,0.6877175827815648,0.8652368758002561,0.19590268886043533,1562,0.7983354673495519,0.32970550576184376,1562,0.7730473751600512,0.1850192061459667,1562,0.7768245838668374,0.13124199743918052,1562,2020,2014-2019
ダート,159779,22962,0.6987445202055557,0.7978908188585607,0.20161290322580644,1612,0.8022332506203472,0.32568238213399503,1612,0.8294665012406949,0.20161290322580644,1612,0.7428660049627791,0.12468982630272953,1612,2021,2014-2020
ダート,182741,22458,0.7082736653225243,0.8644695543000627,0.21406151914626492,1593,0.8242310106716887,0.35091023226616447,1593,0.8137476459510358,0.1958568738229755,1593,0.8118016321406151,0.1349654739485248,1593,2022,2014-2021
ダート,205199,22335,0.698131917150173,0.7112395632626847,0.19524727039177905,1557,0.7974309569685292,0.3352601156069364,1557,0.7494540783558126,0.18625561978163135,1557,0.7959537572254336,0.13230571612074501,1557,2023,2014-2022
ダート,227534,22189,0.6990831353235263,0.7358730158730159,0.20825396825396825,1575,0.7966984126984127,0.3434920634920635,1575,0.7333333333333333,0.18095238095238095,1575,0.8273650793650793,0.1434920634920635,1575,2024,2014-2023
ダート,249723,22191,0.7063642860566899,0.7994822006472492,0.2284789644012945,1545,0.8214886731391586,0.35016181229773463,1545,0.8168284789644013,0.19805825242718447,1545,0.7115210355987053,0.12103559870550162,1545,2025,2014-2024
