edge_thresh,n_bets,hit_rate,roi
1.0,2252,0.16474245115452932,0.7235346358792185
1.2,1431,0.1243885394828791,0.6753319357092942
1.5,837,0.08602150537634409,0.6224611708482676
2.0,470,0.03404255319148936,0.41638297872340424
