year,roi,hit_rate,n_bets
2014,111.9375,26.726190476190474,3360
2015,117.64041604754831,27.696879643387817,3365
2016,105.37775133848899,29.38726948245092,3362
2017,105.4310344827586,29.994054696789537,3364
2018,101.0734463276836,29.913767469521265,3363
2019,104.0345135376376,29.15798869384112,3361
2020,108.19502074688796,29.608772969768822,3374
2021,106.86367686367686,29.284229284229284,3367
2022,103.93632847366857,29.604284439155016,3361
2023,173.96551724137933,36.83115338882283,3364
2024,78.79510885773934,21.08559498956159,3353
2025,73.38782051282051,22.24358974358974,3120
