period,train_end,test_start,test_end,train_count,test_count,train_roi,test_roi,test_hit_rate,gap
2022,2021-12-31,2022-01-01,2022-12-31,388795,46841,112.92016502605675,69.12037037037037,19.12615740740741,43.799794655686384
2023,2022-12-31,2023-01-01,2023-12-31,435636,47274,111.3320252187339,78.51851851851852,19.87847222222222,32.813506700215385
2024,2023-12-31,2024-01-01,2024-12-31,482910,46752,107.52808012968967,75.53850607990735,20.64273306311523,31.98957404978232
2025,2024-12-31,2025-01-01,,529662,39325,105.4997631454287,76.25564432094477,19.381729767280305,29.244118824483934
