threshold,valid_roi,valid_bets,valid_hit_rate,test_roi,test_bets,test_hit_rate,gap
-0.5,1.1694331983805668,494,0.16396761133603238,0.9029379760609357,919,0.117519042437432,0.2664952223196311
-0.45,1.2473684210526315,399,0.15789473684210525,0.8927792915531336,734,0.10217983651226158,0.35458912949949783
-0.4,1.2555183946488293,299,0.14046822742474915,0.9158894645941277,579,0.09326424870466321,0.3396289300547016
-0.35000000000000003,1.3524999999999998,240,0.14166666666666666,0.9356828193832599,454,0.08149779735682819,0.4168171806167399
-0.30000000000000004,1.4463917525773198,194,0.13917525773195877,0.984375,384,0.08072916666666667,0.4620167525773198
-0.25000000000000006,1.6681250000000003,160,0.15625,1.035294117647059,306,0.0718954248366013,0.6328308823529414
-0.20000000000000007,1.7976923076923075,130,0.16153846153846155,1.1535849056603773,265,0.07547169811320754,0.6441074020319302
-0.15000000000000008,1.8636363636363635,110,0.15454545454545454,1.2530701754385967,228,0.07894736842105263,0.6105661881977669
-0.10000000000000009,1.8065934065934064,91,0.14285714285714285,1.3396135265700484,207,0.0821256038647343,0.466979880023358
-0.0500000000000001,1.8217948717948718,78,0.14102564102564102,1.4285714285714288,175,0.08,0.39322344322344294
-1.1102230246251565e-16,1.9863636363636363,66,0.15151515151515152,1.4870129870129871,154,0.07792207792207792,0.4993506493506492
0.04999999999999982,2.103508771929824,57,0.15789473684210525,1.5423357664233577,137,0.072992700729927,0.5611730055064665
0.09999999999999987,2.0090909090909093,44,0.13636363636363635,1.6588235294117648,119,0.07563025210084033,0.35026737967914445
0.1499999999999999,2.0243243243243243,37,0.13513513513513514,1.332727272727273,110,0.045454545454545456,0.6915970515970513
0.19999999999999984,2.0805555555555557,36,0.1388888888888889,1.6471910112359553,89,0.056179775280898875,0.43336454431960036
0.24999999999999978,2.024137931034483,29,0.13793103448275862,1.755844155844156,77,0.05194805194805195,0.26829377519032693
0.2999999999999998,2.2576923076923077,26,0.15384615384615385,1.5928571428571427,70,0.02857142857142857,0.6648351648351649
0.34999999999999987,2.6681818181818184,22,0.18181818181818182,1.6893939393939394,66,0.030303030303030304,0.978787878787879
0.3999999999999998,2.195,20,0.15,1.9224137931034482,58,0.034482758620689655,0.27258620689655166
0.44999999999999973,1.5444444444444445,18,0.1111111111111111,2.0272727272727273,55,0.03636363636363636,0.48282828282828283
0.4999999999999998,0.9058823529411765,17,0.058823529411764705,2.4239130434782608,46,0.043478260869565216,1.5180306905370844
0.5499999999999998,0.9625,16,0.0625,2.5930232558139537,43,0.046511627906976744,1.6305232558139537
0.5999999999999996,1.1846153846153846,13,0.07692307692307693,2.7875,40,0.05,1.6028846153846155
0.6499999999999997,1.4000000000000001,11,0.09090909090909091,3.0135135135135136,37,0.05405405405405406,1.6135135135135135
0.6999999999999997,1.7111111111111112,9,0.1111111111111111,3.596774193548387,31,0.06451612903225806,1.8856630824372758
0.7499999999999998,2.566666666666667,6,0.16666666666666666,3.596774193548387,31,0.06451612903225806,1.0301075268817201
0.7999999999999998,2.566666666666667,6,0.16666666666666666,3.8448275862068964,29,0.06896551724137931,1.2781609195402295
0.8499999999999996,0.0,3,0.0,4.12962962962963,27,0.07407407407407407,4.12962962962963
0.8999999999999997,0.0,2,0.0,4.46,25,0.08,4.46
0.9499999999999997,0.0,2,0.0,4.8478260869565215,23,0.08695652173913043,4.8478260869565215
0.9999999999999996,0.0,2,0.0,6.194444444444445,18,0.1111111111111111,6.194444444444445
1.0499999999999996,0.0,2,0.0,6.5588235294117645,17,0.11764705882352941,6.5588235294117645
1.0999999999999996,0.0,2,0.0,6.96875,16,0.125,6.96875
1.1499999999999997,0.0,1,0.0,8.576923076923077,13,0.15384615384615385,8.576923076923077
1.1999999999999997,0.0,1,0.0,9.291666666666666,12,0.16666666666666666,9.291666666666666
1.2499999999999996,0.0,1,0.0,9.291666666666666,12,0.16666666666666666,9.291666666666666
1.2999999999999996,0.0,1,0.0,7.636363636363637,11,0.09090909090909091,7.636363636363637
1.3499999999999996,0.0,1,0.0,8.4,10,0.1,8.4
1.3999999999999995,0.0,1,0.0,8.4,10,0.1,8.4
1.4499999999999995,0.0,1,0.0,9.333333333333334,9,0.1111111111111111,9.333333333333334
