threshold,n_bets,n_hits,hit_rate,roi,stable_roi,ci_lower,ci_upper,fav1_rate,meets_bets,meets_stable_roi,meets_ci,meets_fav1,meets_all
-0.6,1569,219,0.13957934990439771,0.8453154875717017,0.7662835249042146,0.7063065646908859,1.005291586998088,0.05927342256214149,True,False,True,True,False
-0.58,1409,189,0.13413768630234207,0.8591909155429381,0.7711948790896159,0.7083694109297375,1.0335734563520227,0.0411639460610362,True,False,True,True,False
-0.5599999999999999,1266,162,0.12796208530805686,0.8589257503949446,0.7609659540775929,0.6962045813586099,1.0523894154818323,0.026066350710900472,True,False,False,True,False
-0.5399999999999999,1131,140,0.1237842617152962,0.8777188328912467,0.7680851063829788,0.6961958443854995,1.10249557913351,0.013262599469496022,True,False,False,True,False
-0.5199999999999999,1022,124,0.12133072407045009,0.8940313111545987,0.7727183513248281,0.6988258317025441,1.138463796477495,0.009784735812133072,True,False,False,True,False
-0.4999999999999999,919,108,0.117519042437432,0.9029379760609357,0.7680131004366813,0.6848721436343851,1.1743389553862893,0.00544069640914037,True,False,False,True,False
-0.47999999999999987,842,91,0.10807600950118765,0.8843230403800474,0.736948748510131,0.6610451306413302,1.1521377672209026,0.0023752969121140144,False,False,False,True,False
-0.45999999999999985,768,80,0.10416666666666667,0.8963541666666668,0.7347712418300656,0.6507779947916666,1.20794921875,0.0026041666666666665,False,False,False,True,False
-0.43999999999999984,696,71,0.10201149425287356,0.9054597701149426,0.7271284271284272,0.6458333333333334,1.2425682471264363,0.0014367816091954023,False,False,False,True,False
-0.4199999999999998,630,63,0.1,0.9204761904761907,0.7234449760765551,0.6366666666666667,1.2913253968253962,0.0,False,False,False,True,False
-0.3999999999999998,579,54,0.09326424870466321,0.9158894645941277,0.7013888888888888,0.6077633851468048,1.3223445595854915,0.0,False,False,False,True,False
-0.3799999999999998,530,48,0.09056603773584905,0.9324528301886793,0.6981024667931689,0.6090518867924529,1.3621792452830175,0.0,False,False,False,True,False
-0.35999999999999976,471,39,0.08280254777070063,0.9273885350318471,0.6634615384615384,0.5717569002123142,1.384766454352441,0.0,False,False,False,True,False
-0.33999999999999975,436,35,0.08027522935779817,0.9387614678899081,0.6535796766743648,0.5545871559633028,1.4381536697247697,0.0,False,False,False,True,False
-0.31999999999999973,413,33,0.07990314769975787,0.953268765133172,0.6521951219512196,0.5392251815980629,1.479685230024213,0.0,False,False,False,True,False
-0.2999999999999997,384,31,0.08072916666666667,0.984375,0.6606299212598425,0.5557161458333333,1.5739973958333329,0.0,False,False,False,True,False
-0.2799999999999997,351,28,0.07977207977207977,1.0233618233618234,0.6692528735632183,0.5504273504273504,1.656702279202279,0.0,False,False,False,True,False
-0.2599999999999997,318,24,0.07547169811320754,1.0462264150943397,0.6552380952380954,0.530503144654088,1.7362264150943387,0.0,False,False,False,True,False
-0.23999999999999966,299,21,0.07023411371237458,1.0414715719063545,0.6253378378378379,0.5110284280936456,1.7990217391304342,0.0,False,False,False,True,False
-0.21999999999999964,279,20,0.07168458781362007,1.0956989247311828,0.6499999999999999,0.5397849462365591,1.8573476702508958,0.0,False,False,False,True,False
-0.19999999999999962,265,20,0.07547169811320754,1.1535849056603773,0.6847328244274808,0.5543301886792452,1.9951132075471698,0.0,False,False,False,True,False
-0.1799999999999996,247,19,0.07692307692307693,1.1890688259109312,0.6860655737704917,0.5692004048582996,2.061993927125505,0.0,False,False,False,True,False
-0.1599999999999996,234,19,0.0811965811965812,1.255128205128205,0.7246753246753246,0.5820299145299145,2.2115384615384617,0.0,False,False,False,True,False
-0.13999999999999957,223,18,0.08071748878923767,1.2811659192825113,0.7245454545454547,0.5928139013452914,2.222488789237667,0.0,False,False,False,True,False
-0.11999999999999955,216,18,0.08333333333333333,1.3226851851851853,0.7483568075117373,0.6134143518518519,2.3310185185185186,0.0,False,False,False,True,False
-0.09999999999999953,207,17,0.0821256038647343,1.3396135265700484,0.7401960784313726,0.5882729468599034,2.4507850241545888,0.0,False,False,False,True,False
-0.07999999999999952,189,15,0.07936507936507936,1.368783068783069,0.7118279569892475,0.5772486772486772,2.5068915343915346,0.0,False,False,False,True,False
-0.0599999999999995,181,14,0.07734806629834254,1.38121546961326,0.6949438202247192,0.5369751381215471,2.5922651933701655,0.0,False,False,False,True,False
-0.03999999999999948,173,14,0.08092485549132948,1.4450867052023122,0.7276470588235296,0.5786127167630059,2.6959537572254337,0.0,False,False,False,True,False
-0.019999999999999463,165,13,0.07878787878787878,1.4606060606060607,0.7080246913580247,0.5478484848484849,2.771530303030303,0.0,False,False,False,True,False
5.551115123125783e-16,154,12,0.07792207792207792,1.4870129870129871,0.6801324503311258,0.5369805194805194,2.9100974025973976,0.0,False,False,False,True,False
0.020000000000000573,145,10,0.06896551724137931,1.457241379310345,0.5985915492957747,0.4427586206896552,2.8993793103448264,0.0,False,False,False,True,False
0.04000000000000059,140,10,0.07142857142857142,1.5092857142857143,0.6204379562043797,0.4806964285714286,3.0371964285714275,0.0,False,False,False,True,False
0.06000000000000061,131,10,0.07633587786259542,1.6129770992366412,0.6640625000000001,0.4770992366412214,3.2474427480916015,0.0,False,False,False,True,False
0.08000000000000063,126,9,0.07142857142857142,1.5666666666666667,0.578048780487805,0.44365079365079363,3.262797619047618,0.0,False,False,False,True,False
0.10000000000000064,119,9,0.07563025210084033,1.6588235294117648,0.6129310344827587,0.470546218487395,3.444579831932772,0.0,False,False,False,True,False
0.12000000000000066,113,5,0.04424778761061947,1.297345132743363,0.1845454545454548,0.13097345132743363,3.1655973451327415,0.0,False,False,False,True,False
0.14000000000000068,112,5,0.044642857142857144,1.3089285714285717,0.18623853211009198,0.13214285714285715,3.2278348214285693,0.0,False,False,False,True,False
0.1600000000000007,109,5,0.045871559633027525,1.3449541284403672,0.19150943396226439,0.13577981651376148,3.2688073394495416,0.0,False,False,False,True,False
0.18000000000000071,100,5,0.05,1.4660000000000002,0.20927835051546417,0.14800000000000002,3.514199999999997,0.0,False,False,False,True,False
0.20000000000000073,89,5,0.056179775280898875,1.6471910112359553,0.23604651162790727,0.1662921348314607,3.90573033707865,0.0,False,False,False,True,False
0.22000000000000075,86,4,0.046511627906976744,1.5720930232558141,0.10722891566265084,0.10348837209302326,3.948837209302326,0.0,False,False,False,True,False
0.24000000000000077,79,4,0.05063291139240506,1.7113924050632914,0.117105263157895,0.11265822784810127,4.260759493670887,0.0,False,False,False,True,False
0.2600000000000008,76,4,0.05263157894736842,1.7789473684210528,0.12191780821917836,0.11710526315789474,4.4966118421052546,0.0,False,False,False,True,False
0.2800000000000008,74,2,0.02702702702702703,1.5067567567567568,0.0,0.0,4.148648648648648,0.0,False,False,False,True,False
