race_id,n_horses,odds_mean,odds_std,odds_cv,odds_min,odds_max,top1_horse,top1_prob,top1_odds,top1_relative_odds,top1_finish,top1_hit,top1_ev,top2_horse,top2_prob,top2_odds,top2_finish,winner_horse,winner_pred_rank,winner_pred_prob,winner_odds,winner_relative_odds,prob_gap_1_2,odds_gap_1_2,actual_2nd_horse,actual_3rd_horse,tansho_payout,tansho_horse,umaren_payout,umaren_horses,umatan_payout,sanrenpuku_payout,sanrentan_payout,wide_payouts,wide_min,wide_max
202001010109,8,15.687500000000002,12.206255714650116,0.7780880136828758,1.9,35.1,5,0.41495078209128966,1.9,0.12111553784860556,2,False,0.7884064859734503,4,0.0659633904529964,3.8,1,4,2,0.0659633904529964,3.8,0.2422310756972111,0.3489873916382933,1.9,5,3,380,4,350,"(4, 5)",900,980,4990,"[180, 530, 410]",180,530
202001010111,16,33.63125,36.990065670843755,1.0998718653289352,3.3,129.5,6,0.10015238368139598,7.2,0.21408660100353094,6,False,0.721097162506051,4,0.09595891411012585,3.3,9,11,9,0.0493529237093078,4.2,0.12488385058539304,0.004193469571270134,-3.9000000000000004,8,3,420,11,4380,"(8, 11)",7480,68420,313320,"[1290, 3690, 9100]",1290,9100
202001010112,13,19.838461538461537,16.55287177811041,0.8343828348795478,3.5,57.5,6,0.13211430945658342,3.5,0.17642497091896084,8,False,0.462400083098042,12,0.111879580668809,22.7,9,3,3,0.10337159452101122,5.2,0.26211709965102753,0.020234728787774423,19.2,1,5,520,3,1230,"(1, 3)",2360,6860,27370,"[510, 1530, 1220]",510,1530
202001010101,6,28.583333333333332,29.723217636498692,1.0398793342215287,1.8,73.9,2,0.5656122660959605,1.9,0.06647230320699708,2,False,1.074663305582325,3,0.2982000664705116,1.8,3,6,4,0.07037662180605908,16.0,0.5597667638483965,0.2674121996254489,-0.09999999999999987,2,3,1600,6,1410,"(2, 6)",3920,240,5180,"[150, 170, 110]",110,170
202001010201,7,20.228571428571428,25.59672598111682,1.2653748719478655,2.9,71.1,7,0.3806577863174536,2.9,0.14336158192090395,1,False,1.1039075803206155,6,0.33156408224458284,3.4,5,4,4,0.22339018052397727,4.0,0.1977401129943503,0.04909370407287078,0.5,7,3,180,4,490,"(4, 7)",540,500,1420,"[170, 220, 180]",170,220
202001010103,14,67.35714285714286,77.28521317706368,1.1473944692246993,2.3,239.1,6,0.28829548393541493,2.3,0.03414634146341463,2,False,0.6630796130514542,13,0.1640097170164881,25.6,8,2,3,0.14992550373442098,2.9,0.043054082714740184,0.12428576691892684,23.3,6,12,290,2,370,"(2, 6)",770,2230,7670,"[200, 1030, 800]",200,1030
202001010106,15,44.373333333333335,40.33645048954156,0.9090245753352215,2.5,145.6,3,0.055105204426126396,55.8,1.2575120192307692,9,False,3.0748704069778525,2,0.054333752229832444,2.5,3,1,8,0.02222156937827259,4.6,0.10366586538461538,0.0007714521962939522,-53.3,8,2,460,1,4800,"(1, 8)",8330,2700,23280,"[1220, 290, 710]",290,1220
202001010204,12,27.966666666666665,29.30188741464628,1.0477432925380077,2.5,97.7,12,0.11928658415096732,12.3,0.43980929678188324,5,False,1.4672249850568981,6,0.11124059331951724,2.5,1,6,2,0.11124059331951724,2.5,0.08939213349225268,0.008045990831450078,-9.8,3,11,250,6,490,"(3, 6)",780,1780,5580,"[230, 560, 760]",230,760
202001010207,9,20.11111111111111,19.650473559461897,0.9770953703599838,1.4,68.5,4,0.4879534302759092,1.4,0.06961325966850829,1,True,0.6831348023862729,6,0.09536645885410097,14.9,6,4,1,0.4879534302759092,1.4,0.06961325966850829,0.3925869714218082,13.5,7,9,140,4,1500,"(4, 7)",1750,3130,9520,"[560, 240, 1980]",240,1980
202001010209,10,18.849999999999998,13.180899480350767,0.699251961822322,1.7,40.0,1,0.1181111081115108,5.8,0.3076923076923077,2,False,0.6850444270467626,9,0.10328021238118816,8.4,6,7,6,0.047888447151358184,1.7,0.09018567639257295,0.014830895730322646,2.6000000000000005,1,2,170,7,400,"(1, 7)",500,3180,7920,"[210, 1040, 2050]",210,2050
