has_horse_history,undervalued_count,undervalued_rate,overvalued_count,overvalued_rate,actual_win_rate,n_horses
0,2810,0.065,2871,0.0664,0.0682,43237
1,5715,0.0758,5881,0.078,0.0768,75399
